,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,装修描述,税费解析,周边配套,售房详情,交通出行,适宜人群,权属抵押,用水类型,用电类型
171,['赵堂子胡同小区  赵堂子胡同5号楼'],430,92793,"['东城', '建国门内']",1室1厅1厨1卫,低楼层 (共6层),46.34㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,集中供暖,无,2023-10-07,商品房,2014-10-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五唯一，2层，商务部管理
                  ","
                    小区商务部家属院，有门卫管理，小区有车位，可停车，有地停电动车。
                  ","
                    房子是正南向一居室，厨房卫生间都有窗户，入户有一个门厅，大概8平米可以放一张床，有人家改造成榻榻米。主卧室朝南有15平米，还带一个4平米的阳台。
                  ",,,"
                    小区配套成熟，医院有协和医院、军区总医院，同仁医院等，银行有建设银行，工商银行，农业银行等，菜市场有南小街菜市场，大方家菜市场，公园有日坛公园，奥林匹克公园等。
                  ",,"
                    公交有63路24路公交到外交部街站下，北京站2号线，东单1号线和5号线
                  ",,"
                    房子产权清晰，无抵押，无纠纷，无占用，无户口可以迁出，业主诚意卖。
                  ",,
172,['南门仓胡同小区环境好人车分流 南北通透精装修'],715,138701,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 (共6层),51.55㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,集中供暖,无,2023-10-14,商品房,2018-04-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    史家高部满五年唯一税费少，三层南北通透装修好，交通便利
                  ","
                    小区是03年回迁房小区，钢筋混凝土结构，小区密度低，东方容和物业，管理正规，楼道干净整，环境舒适安静，生活气息浓厚，小区门口是史家高部，小区有地下车位。
                  ",,"
                    2018年的精装修，在设计上有巧妙空间布局，充分考虑每个空间收纳，很实用，兼顾美观和环保，功能齐全，建筑材料和家具家电也都是精心挑选的。
                  ","
                    产权清晰，随时可以交易，产权性质：商品房满五年唯一，仅有购房的契税首套1%，二套3%；
                  ","
                    小区生活气息浓厚，出门就是奥林匹克公园，有顺天府，物美,商场悠唐广场，华普商场等，就在小区的西南角位置，位于东二环内配套齐全。
                  ",,"
                    小区距离朝阳门地铁2号线与6号线748米（数据来源高德地图） 距离东四地铁6号线与5号线1.1公里（数据来源高德地图） 公交有24路 674路 101路 109路 110路等多路公交。
                  ",,,,
173,['崇文门西大街电梯直达有燃气，拎包入住'],415,113327,"['东城', '崇文门']",2室0厅1厨1卫,中楼层 (共13层),36.62㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,有,2023-09-18,已购公房,2014-07-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是电梯直达带阳台，公房满五唯一
                  ",,,"
                    装修描述：
房子是精装修的，可以拎包入住，能够节省装修时的人力和精力，还节省了装修的时间和散味的时间。
                  ",,"
                    新世界百货，新世界商场，国瑞城商场，搜秀影城，百老汇影城，同仁医院，北京医院，同仁堂中医院等；中国银行，工商银行，建设银行，交通银行，农业银行，招商银行等；老北京炸酱面，海底捞，李先生，肯德基，麦当劳，真功夫等，东单公园
                  ",,"
                    崇文门西大街位于北京东城崇文门二环内，交通便利，配有地铁2 5 7号三条地铁线，和多条公交车线
                  ",,,,
174,['和平里七区 95年一居，挨着地铁 有客厅 车位可租'],555,119202,"['东城', '和平里']",1室1厅1厨1卫,低楼层 (共6层),46.56㎡,平层,暂无数据,板楼,东,混合结构,精装,暂无数据,集中供暖,无,2023-10-15,已购公房,2008-09-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城和平里七区，95年楼龄一居，挨着地铁户型好 满五年商品房
                  ","
                    社区现有32栋居民楼办公楼房10栋其中4号楼为化工供销总公司乙12、14、15楼为核工业地质局、16楼为化工规划院、18楼为仪器设备总公司、19楼为京城房管一公司、24楼为林业部招待所、36楼为建设银行
                  ",,,"
                    满五年住房，商品房性质，原值64万，业主可以承担个人所得税，可以按照一套房，业主也是换房先卖后买，产权清晰没有抵押
                  ","
                    蒋宅口车站（18、75、108、113、119、124、301快3快3区特11夜34路）.其中75通行朝阳北路方向，108直达W府井，113穿行民族园、中轴路、安定门、交道口、东直门、三里屯、国贸，124经过后海、景山公园、故宫、北海公园，301快3直达天通苑，特11纵贯南北
                  ",,,,,,
175,['领行国际拎包入户，满两年高原/值'],499,85358,"['东城', '广渠门']",1室0厅1厨1卫,中楼层 (共21层),58.46㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,三梯八户,集中供暖,有,2023-10-26,商品房,2021-04-30,普通住宅,满两年,非共有,"
                                有抵押 260万元 客户偿还
                              ",已上传房本照片,"
                    本房原值高，只有契税，诚心出售，高楼层，无遮挡
                  ","
                    本小区市政集中供暖，30元每平米，物业费2.98元每平米每月，小区共有两栋楼，每栋楼两个单元，每个单元都要保安值班，24小时值班，安保措施不错，保保障小区居民的安全，小区有地下车库，共有两层车库，车位充足，保障小区居民出行方便
                  ","
                    70年产权户型方正没有浪费面积，有落地窗大阳台屋内有燃气的房子是2005年的商品房有电梯适合居住，3梯8户
                  ",,"
                    房子是满两年的商品房，原值422万。可以贷款，首套契税1%，二套契税3%.
                  ","
                    此房地处二环里，属于东城广渠门内商圈，配套齐全，楼下有六一广场，能满足日常所需，也有特吉特早市，种类齐全物美价廉；交通方便有地铁7号线广渠门外站，距离约400米；公园有龙潭湖公园和龙潭西湖公园，平时休闲去公园玩也很便利；有同仁医院和北京。
                  ",,,,"
                    房子有抵押，产权清晰，没有纠纷，诚心出售，家里人都同意出售。
                  ",,
176,['东城区   2000年小区    朝南两居室   满五年'],758,80725,"['东城', '永定门']",2室2厅1厨1卫,高楼层 (共18层),93.9㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯十户,集中供暖,有,2023-09-12,商品房,2023-09-07,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满5年唯一，采光充足，视野开阔
                  ","
                    小区北距南二环路500米，小区占地2.46公顷，总建筑面积约9万平方米，分别规划设计为五栋塔楼以及幼儿园、停车场、集中绿地等配套设施，众楼环拥的花园绿地以及大面积停车场全方位体贴居者的要求。
                  ","
                    本房客厅方正朝南，很好摆放家具家电此房满5年，主卧室带阳台朝南，采光好。次卧室朝南带阳台，厨房朝西，卫生间宽敞
                  ",,,,,"
                    小区北临革新南路,南临西罗园北街,2、14、17、40、66、341、343、377、381、百利宝专线等多路公共汽车通过小区，出行便利；地铁：北京南站(14号线、4号线)，永定门外地铁站
                  ",,,,
177,['西水井胡同，南北通透三居室，看房随时'],865,99084,"['东城', '朝阳门内']",3室1厅1厨1卫,低楼层 (共16层),87.3㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,三梯三户,集中供暖,有,2023-06-26,二类经济适用房,2023-06-26,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    西水井胡同，南北通透三居室，业主诚意出售，看房随时。
                  ","
                    2003年的小区，小区内有绿化，进出车辆登记，安全严谨。小区内有停车位，停车位充足。
                  ",,,,"
                    小区到北京apm商城4公里，到悠唐广场3公里，5公里范围内有北京协和医院、北京陆军总医院、北京医院、同仁医院等三甲医院，大型菜市场有朝阳门早市和朝内菜市场。（数据来自于百度地图）
                  ",,"
                    地铁有朝阳门地铁站，2号线和6号线交汇处，距离仅488米（来源百度地图），公交674路24路等出行很方便。
                  ",,,,
178,['东花市北里中区楼层佳采光好正规一居室业主诚心出售'],435,91157,"['东城', '东花市']",1室1厅1厨1卫,中楼层 (共6层),47.72㎡,平层,暂无数据,塔楼,东,混合结构,简装,暂无数据,集中供暖,无,2023-04-10,已购公房,2023-04-10,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼层佳采光好正规一居室业主诚心出售
                  ","
                    小区是天鸿集团开发，天鸿物业，基本是1993年左右楼龄，居住人群大多以：中国华能集团质量监督总局、海关总署、国有四大银行及中信银行等单位。用的是军用水泥，建筑质量好。
                  ",,,,"
                    小区有东门南门进出方便，小区北侧有明城墙遗址公园，北京站，出行有地铁2/5/7号线，公交8/12/525路等，有家乐福，京客隆，本小区内有菜市场，食堂，购物方便
                  ",,,,"
                    房子没有抵押，家庭名下没有其他负债，房子产权清晰，产权人在京靠谱签约。
                  ",,
179,['东城 满二年  中间楼层 西南北采光 交通便利'],585,64634,"['东城', '永定门']",3室1厅1厨1卫,中楼层 (共6层),90.51㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-03,已购公房,2023-08-21,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城 满二年 已购公房 中间楼层 西南北采光 诚心卖
                  ","
                    安乐林二条是比较成熟的小区，楼龄1996年相对也比较新，小区人文素质高，居住环境也比较好
                  ","
                    这个户型少有，正规三室两厅结构 双阳台， 两个卧室朝北9平米左右，拥有门厅和客厅适中， 90平米三室两厅结构很难得，又是边户三面采光好，小区楼龄在1996年，还算新一点，适合一家三代居住！
                  ",,,"
                    小区往北是安乐林路，往西是永定门外大街西侧的百荣世贸商城，一直往东是蒲黄榆物美大卖场和方庄家乐福，多个菜市场和超市，温馨超市，超市发，悠惠万家，宝华里菜市场，山西天镇蔬菜，蒲安里菜市场，生活方便。
                  ",,"
                    小区往北400米（百度测距）是14号线地铁景泰站D口，小区往南是安乐林路，往东是定安路有公交525路，610路，运通102，特11路，7路以及25路交通方便，出行便利。
                  ",,,,
180,['长青园 南北通透 采光好 看房方便'],448,77576,"['东城', '左安门']",2室1厅1厨1卫,顶层 (共6层),57.75㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-06,已购公房,2023-10-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透格局，视野开阔，采光充足，交通出行便利
                  ",,,,,"
                    小区西邻天坛公园，距天坛公园东门950米，东临龙潭西湖公园，距离580米，环境优美；往北走距物美便利店（东浦桥店）450米，往南走距方庄家乐福1.5公里，向东距龙潭早市1.3公里可以采购新鲜的瓜果蔬菜；距北京中医药大学东方医院2.7公里。
                  ",,"
                    小区的公交车站是龙潭路口西 684路左安门外 龙潭湖公园 崇文门等等。 地铁是5号线天坛东门站 途径崇文门 东单 东四 等
                  ","
                    适合三代居住，采光好，临龙潭公园和天坛公园，看房方便，业主诚意出售
                  ",,,
181,['东城 满二年  中间楼层 西南北采光 交通便利'],585,64634,"['东城', '永定门']",3室1厅1厨1卫,中楼层 (共6层),90.51㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-03,已购公房,2023-08-21,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城 满二年 已购公房 中间楼层 西南北采光 诚心卖
                  ","
                    安乐林二条是比较成熟的小区，楼龄1996年相对也比较新，小区人文素质高，居住环境也比较好
                  ","
                    这个户型少有，正规三室两厅结构 双阳台， 两个卧室朝北9平米左右，拥有门厅和客厅适中， 90平米三室两厅结构很难得，又是边户三面采光好，小区楼龄在1996年，还算新一点，适合一家三代居住！
                  ",,,"
                    小区往北是安乐林路，往西是永定门外大街西侧的百荣世贸商城，一直往东是蒲黄榆物美大卖场和方庄家乐福，多个菜市场和超市，温馨超市，超市发，悠惠万家，宝华里菜市场，山西天镇蔬菜，蒲安里菜市场，生活方便。
                  ",,"
                    小区往北400米（百度测距）是14号线地铁景泰站D口，小区往南是安乐林路，往东是定安路有公交525路，610路，运通102，特11路，7路以及25路交通方便，出行便利。
                  ",,,,
182,['幸福南里 全明格局 南北通透两居'],455,110545,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 (共5层),41.16㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-20,商品房,2021-12-15,普通住宅,满两年,非共有,"
                                有抵押 160万元 客户偿还
                              ",已上传房本照片,"
                    南北两居 全明格局 中高楼层 满五唯一 前后无遮挡
                  ",,"
                    房子是南北通透的两居室，全明格局，厨房和卫生间朝北有窗户。主卧室朝南带有阳台。房子前后不临街。没有遮挡
                  ",,,,,"
                    出行便利。出小区就是体育馆公交站，有公交6路;34路;35路;36路;41路;54路;72路;116路;957路;958路;夜11路，离地铁5号线天坛东门站1公里。三大公园。小区南面就是龙潭湖，龙潭中湖和龙潭西湖。
                  ",,"
                    房子是满两年的商品房，房子产权清晰，家人意见统一，都同意出售。
                  ",,
183,['不临街 双南两居室 满五年 视野好 无遮挡 有钥匙'],740,118363,"['东城', '和平里']",2室1厅1厨1卫,中楼层 (共5层),62.52㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,集中供暖,无,2023-08-17,已购公房,2023-08-15,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，央产房，已办理上市，中间层，视野好，无遮挡
                  ",,"
                    此房是小区中间位置的楼，单位福利分房，楼道干净整洁，没有小广告，户型属于常见的双南卧室，眼镜房格局，布局合理，没有浪费。
                  ",,,"
                    小区南门30米是地坛公园，小区北门100米是地铁五号线和平里北街站，一千米内有工商银行，邮局，超市，饭店，医院，配套成熟，生活便利。
                  ","
                    此房是部委的福利分房，一直没有交易过，房子保持的好，单纯变现，产权清晰。
                  ",,,"
                    此房是满五年的央产房，已经办理上市手续，交易简单，权属清晰，家庭和睦，产权清晰。
                  ",,
184,['东城百荣嘉园 东南向好楼层满五唯一 临双地铁'],568,86270,"['东城', '永定门']",2室1厅1厨1卫,高楼层 (共21层),65.84㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯六户,集中供暖,有,2023-10-20,商品房,2022-10-11,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东南向采光视野好 格局方正，临双地铁 随时看房随时签约
                  ","
                    本小区是2015年由鼎能置地开发，小区一共四栋楼，北侧西革新里城市休闲公园，燕墩公园，东侧有地铁14号线和8号线换乘站永定门外站，南侧是小区花园，有凉亭、健身器材，小区人车分流，地下两层车库！
                  ","
                    此房为正规二室一厅，主卧及客厅朝南，客厅带阳台，次卧朝东，采光视野好，格局方正无浪费面积！
                  ",,,"
                    小区东南侧有百荣世贸商城，步行距离1公里，到燕墩公园步行距离252米，到永定门公园步行距离1.4公里，到首芯生活市场步行距离486米，到东城区人民医院步行距离927米，（以上数据来源高德地图）配套成熟！
                  ",,"
                    地铁：小区东侧就是8号线和14号线的换乘站永定门外站，东西连接丽泽金融街，CBD,望京，南北连接前门，昌平朱辛庄 ；环线：小区位于南二环和南三环之间，东侧就是南中轴路，开车出行方便；公交：东侧有沙子口公交站，西侧有北京南站公交站可供选择！
                  ",,"
                    此房屋产权清晰，无抵押/无纠纷，无其它限制交易情形，可直接交易；
                  ",,
185,['东城区 管村10号 南北两居中间层 采光好'],405,69125,"['东城', '永定门']",2室1厅1厨1卫,中楼层 (共7层),58.59㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-08-09,已购公房,2023-07-04,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房近地铁，南北通透格局，中间楼层，视野宽阔，采光充足
                  ","
                    小区属于北京信托公司的家属院，人文素质高，邻里关系和谐，配套齐全，百荣世贸商城等
                  ",,,,,,"
                    小区交通出行方便，中轴路以西，交通有公交站沙子口站（2路，71路，72路，93路，120路，849路，943路，快速公交1号线，北京南站南广场免费摆渡车等），地铁永定门外站【地铁14号线（张郭庄-善各庄），地铁8号线（朱辛庄-瀛海），2021年年底已经全线贯通
                  ","
                    本房的总价不高，比较适合刚需年轻的客户群体，中间楼层，采光视野好。
                  ",,,
186,['柏林寺西 南北通透 满五唯一 精装修 低楼层采光视野好'],750,123600,"['东城', '和平里']",2室1厅1厨1卫,低楼层 (共6层),60.68㎡,平层,暂无数据,板楼,南 西 北,混合结构,精装,暂无数据,集中供暖,无,2023-05-13,已购公房,2023-04-24,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一 南北通透户型 精装修 全明格局采光通风好
                  ","
                    小区是航天部239厂家属楼，华润的物业，93年建成，楼龄属于区域内比较新的，前后楼间距比较远，互相不影响采光和通风。保安是24小时值班的，小区的安全也有保证。
                  ","
                    户型是南北通透的两居室，全明户型，厨房朝北，客厅和卫生间朝西，主卧朝南，次卧朝北。户型紧凑，没有浪费面积，南北通透通风好，前后不遮挡采光好。
                  ","
                    房子是19年重新装修的，房子里现状挺不错的，装修风格是干净整洁，实木的地板，洁白的墙面，厨房卫生间都是重新做的，房屋内电线管道都是重新布线的，可以说您完全可以拎包入住。
                  ",,,,,,"
                    本房无抵押，不涉及贷款还款事宜，业主诚心出售，主要目的属于变现，对于付款方式没有特殊要求。
                  ",,
187,['横街 一间平房 手续齐全 随时交易'],208,145455,"['东城', '东四']",1室0厅0厨0卫,底层 (共1层),14.3㎡,平层,暂无数据,平房,北,砖木结构,简装,暂无数据,自供暖,暂无数据,2023-11-11,私产,2023-03-24,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    一间平房，有上下水，二证合一，随时交易
                  ",,"
                    一间平房，朝北，进出方便，有上下水，有天窗，二证合一，随时交易
                  ",,"
                    房子是商品房，不满两年，有原值，原值比较高，可以差没，交易有契税和增值税及附加
                  ",,,,,"
                    房子没有抵押，产权清晰，一个人的房本，随时可以交易，业主诚心出售
                  ",,
188,['炮局头条小区   南向一居   低楼层   采光视野好'],455,110437,"['东城', '东直门']",1室1厅1厨1卫,底层 (共6层),41.2㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,自供暖,无,2023-11-21,已购公房,2002-07-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年公房，南向无遮挡，一层半有半地下，采光好
                  ","
                    小区共两栋楼，原产权单位为公 安局的宿舍，现产权单位大部分属于公交总公司。比较干净安静，胡同比较宽，车位比较好找，有停车场。
                  ",,,,,,"
                    配套齐全，地铁2号线5号线。多个公交站点，银行 购物 医院都有，生活便利
                  ",,"
                    此房产权清晰，房子诚意出售，没有任何的抵押和纠纷，随时能签约。
                  ",,
189,['东直门胡家园2居+带客厅+格局好利用'],523,86049,"['东城', '东直门']",2室1厅1厨1卫,底层 (共17层),60.78㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯八户,集中供暖,有,2023-11-26,商品房,1999-03-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年公房，明厨明卫通透性好，带客厅户型好利用。
                  ","
                    东城区东直门地段成熟社区，配套设施一应俱全，大社区，亮马河在小区穿行而过，小区有水系，小区多为原单位福利分房的老住户，和谐，安全，小区整体重新休整改造了小区路面，绿化，楼体外立面，保温层，楼道内墙面和线路， 下水管道全部整改完成，
                  ","
                    带客厅两居室， 主卧室朝带阳台挂西窗，次卧室朝北， 厨房带窗户朝北，卫生间比较大带朝北的窗户，格局户型好无浪费，直对亮马河景观，厨房和次卧室都带阳台。
                  ",,,"
                    配套设施一应俱全，大社区，亮马河在小区穿行而过，小区有水系，小区多为原单位福利分房的老住户，和谐，安全，小区整体重新休整改造了小区路
                  ",,,,,,
190,['灯市口大街 5号线地铁 钢混结构电梯直达2居室 全南向'],654,123490,"['东城', '灯市口']",2室1厅1厨1卫,中楼层 (共10层),52.96㎡,平层,暂无数据,板塔结合,南,混合结构,精装,一梯六户,集中供暖,有,2023-10-20,商品房,2023-09-18,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区位置很好 景山旁边 有电梯 朝南采光好 随时签约 看房随时
                  ","
                    建成年代的1990年 钢混结构，冶金部单位的央产房，小区就1栋楼 居住人群以单位退休职工为主，供暖是市政集中供暖 冬天室温合适。
                  ","
                    全南向2居室 主卧室朝南带阳台 次卧室也朝南 采光和视野都很好 没有浪费空间 看房方便 随时签约
                  ",,,"
                    买菜有物美菜市场、悠惠万家菜市场、兆军盛菜市场；买糕点有稻香村、味多美；逛公园有景山公园、北海公园、地坛公园、中山公园；银行有建设银行、工商银行、华夏银行、北京银行；医院有协和医院、隆福医院、北京医院、同仁医院等配套成熟完善
                  ",,"
                    距离5号线灯市口地铁站280米  门口还有108、111路公交车站 家里有年轻人上班或者是老人坐公交车出行都比较方便
                  ",,"
                    已经北京通查过 房子产权清晰没有抵押 业主随时签约 价格也可以谈
                  ",,
191,['天坛东路64号，紧挨地铁口出行方便'],492,84609,"['东城', '左安门']",2室1厅1厨1卫,低楼层 (共6层),58.15㎡,平层,暂无数据,板楼,东北,混合结构,简装,暂无数据,集中供暖,无,2023-07-31,商品房,2023-07-24,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    天坛公园东门 满五唯一 低楼层两居居 交通便利 视野开阔
                  ","
                    小区就这一栋楼，4个单元，板楼结构，采暖方式为集中供暖，距离天坛东门站近。
                  ","
                    房子是1980年阀门厂分房，属于东北朝向两居，适合一家人同住，中低楼层家里有老人的话上下楼方便，交通便利，4个公园，生活方便。
                  ",,,"
                    小区近天坛公园，生活和交通比较便利。小区旁有：阿兰菜馆、便宜坊烤鸭店、王老头炒货、天兴居、玉桥餐厅、花坛餐厅；北京银行，工商银行、交通银行；如家酒店、汉庭酒店；天坛公园、二十四节气公园、玉蜓公园。
                  ",,,,,,
192,['东城区 双地铁8+14号线 永定门外 南北通透两居 满5年'],319,63307,"['东城', '永定门']",2室1厅1厨1卫,底层 (共6层),50.39㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-06-16,已购公房,2023-03-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房属于东城小两居，低总价，采光好，双地铁出行，低楼层，满5
                  ","
                    小区属于北京信托公司的家属院，人文素质高，邻里关系和谐，配套齐全，百荣世贸商城等
                  ","
                    板楼南北向户型，主卧室朝南带阳台，阳光充足，无遮挡，小卧室朝北，南北通透
                  ",,"
                    房屋产权：满5年唯一的已购公房 税费解析：首套契税1%，二套契税3%
                  ",,,"
                    小区交通出行方便，中轴路以西，交通有公交站沙子口站（2路，71路，72路，93路，120路，849路，943路，快速公交1号线，北京南站南广场免费摆渡车等），地铁永定门外站【地铁14号线（张郭庄-善各庄），地铁8号线（朱辛庄-瀛海），2021年年底已经全线贯通
                  ","
                    房子在负一层适合家里有小孩的shangxue等老人带孩子也比较方便
                  ",,,
193,['和平里七区 南北通透三居室 中间楼层 不临街 电梯直达'],1330,124918,"['东城', '和平里']",3室1厅1厨1卫,中楼层 (共8层),106.47㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯九户,集中供暖,有,2023-09-17,已购公房,2022-09-14,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年央产房 中间楼层 前后不临街
                  ",,"
                    房子为南北通透三三居室，两个卧室朝南，带阳台，次卧室朝北带阳台，
                  ","
                    此房业主是一直自住，自己装修的，保持的很好用的都是环保材料。
                  ",,,"
                    业主售房原因：是变现对于周期和付款方式没有太多要求，看上了可以协商。
                  ",,"
                    此房为南北通透三居室，中间楼层带电梯，前后不临街，适合老人孩子
                  ",,,
194,['东单协和  全明格局 小羊宜宾 低楼层 东西通透2居室'],538,90619,"['东城', '建国门内']",2室1厅1厨1卫,底层 (共6层),59.37㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-11-04,已购公房,2023-10-13,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    东西通透 正规精装2居室 低楼层  全明格局
                  ",,,,,"
                    金宝汇购物,香港马会会所，物美超市，悠唐购物，赛特购物 银行：招商银行、农业银行、中国银行、民生银行、华夏银行，锦州银行； 医院：有协和医院、同仁堂医院、陆军总医院； 公园景点：景山公园，北海公园，日坛公园
                  ",,"
                    地铁有：朝阳门站2、6号线；地铁北京站2号线；地铁东单站1、5号线；地铁灯市口站5号线；地铁东四站5、6号线 ； 公交：东二环有24路、夜28，674路到外交部街下，北京站口东有1路、52路、99路等。
                  ","
                    本房在一层半，方便老人孩子上下楼方便。适合一家人居住。小区干净整洁，老邻居和睦相处。
                  ",,,
195,['安交方家 永康胡同18号院 东西通透两居 满五'],699,139105,"['东城', '安定门']",2室1厅1厨1卫,低楼层 (共6层),50.25㎡,平层,暂无数据,板楼,东 西,混合结构,简装,暂无数据,集中供暖,无,2023-11-03,已购公房,2023-11-03,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五公房东西通透格局方正二层采光充足配套齐全交通便利
                  ","
                    小区在安定门内大街路东侧。共有三栋楼 1.2号楼南北朝向 3号楼东西朝向 本房2号楼前后无遮挡 有集中供暖和燃气 有地上停车位约30个目前不收费先到先停 本楼已做过外保温及上下水换新工程。后期东旭佳业物业接管 进出有门禁。封闭式小区管理好
                  ",,,,"
                    有天客隆超市 物美超市 优惠万家生活广场。五道营 国子监和孔庙博物馆 方家 五分。地坛公园 青年湖公园。小到五金配件都能买到。
                  ",,"
                    本小区三号楼西侧就是安定门内公交站 有124路大屯东至西四丁字街 141路时代庄园北站至宋家庄枢纽站 104路地铁柳芳站至北京站西 113路祁家豁子至大北窑南。距离2号线安定门站500米 2/5号线换乘站雍和宫大街站700米。小区北行400米既是北二环路 可上安立路
                  ",,"
                    本房产权清晰 已查询无抵押无查封 家庭内部出售意见统一 随时可签约。本房已购公房满五唯一 支持商贷25年 首套购房家庭可贷款约461万二套可贷款约284万 有契税首套1%二套3% 具体数额可点顶部我的头像帮您细算 还有土地出让金783.9元
                  ",,
196,['和平里 安外西河沿   随时签约 没有户口 南北中间层'],570,102243,"['东城', '安定门']",2室1厅1厨1卫,中楼层 (共6层),55.75㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-08-16,已购公房,2023-07-28,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    安外西河沿 满五年不唯一公房 没有户口 能签约 有门卫
                  ","
                    本小区为单独管理，小区内就两栋楼，有管理的物业和门卫，小区安静。小区内人文素质高，小区内停车先到早停
                  ",,,,"
                    小区地理位置很好，地铁2号线安定门站（高德地图显示距离560米），青年湖公园（高德地图显示距离562米），地坛公园（高德地图显示距离935米），大型的早市新民菜市场（高德地图显示距离986米），生活配套设施齐全，舒适宜居。
                  ",,"
                    根据百度地图显示：下楼步行711米就是青年湖公园东门，步行1100米就是地坛公园；步行距离地铁2号线安定门站731米；步行距离地坛西门公交站633米，距离27路公交总站安定门外431米，距离安定门公交站770米。
                  ",,,,
