,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,适宜人群,交通出行,装修描述,售房详情,权属抵押,用水类型,用电类型,燃气价格,别墅类型
168,['此房满五唯一，南北通透， 明厨明卫'],365,21498,"['怀柔', '怀柔']",5室2厅1厨2卫,顶层 (共6层),169.79㎡,复式,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-04-23,商品房,2003-02-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，复试南北通透， 明厨明卫
                  ","
                    建成年代2005年，南北通透，双卧朝南，客厅朝南，落地窗，视野开阔
                  ",,,,"
                    小区属于封闭社区，进出需要刷脸或者门禁，24小时安保，北控物业，物业费0.65元
                  ",,"
                    房子业主一直自住，装修保持的干净整洁，简单收拾一下就可以入住
                  ",,,,,,
169,['万通龙山逸墅 联排别墅 毛坯随意装修 看房方便'],830,26230,"['怀柔', '怀柔']",6室1厅1厨4卫,底层 (共3层),316.44㎡,复式,暂无数据,板楼,南 西 北,钢混结构,毛坯,暂无数据,自供暖,无,2023-08-03,商品房,2016-08-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    联排别墅边户，毛坯，地上三层地下一层，采光好
                  ",,"
                    小区配套齐全，有万达广场，京北大世界 。医院：庙城医院，怀柔中医医院，怀柔医院 邮局：中国邮政 银行：中国银行、工商银行、建设银行、农业银行 其他：山水天地酒文化公园、飞腾影视城、湄州酒家
                  ",,,,"
                    万通龙山逸墅位于怀柔庙城镇422号,京承高速第14号京密路出口,出来后直行400米（数据来源于百度地图）路左即到，小区旁边公交车站有：970、866、916、980等
                  ",,"
                    售房原因：换房，诚意出售，空置中，物业有钥匙，看房方便。毛坯
                  ","
                    贷款抵押：产权清晰，没有抵押，没有贷款。售房原因：业主卖房是为了换房
                  ",,,,
170,['青春苑西区 南北通透 顶层复式'],365,21498,"['怀柔', '怀柔']",5室2厅1厨2卫,顶层 (共6层),169.79㎡,复式,151.96㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-03-12,商品房,2012-09-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，复试南北通透， 明厨明卫。
                  ","
                    建成年代2005年，南北通透，双卧朝南，客厅朝南，落地窗，视野开阔。
                  ",,,,"
                    小区属于封闭社区，进出需要刷脸或者门禁，24小时安保，北控物业，物业费0.65元
                  ",,"
                    房子业主一直自住，装修保持的干净整洁，简单收拾一下就可以入住。
                  ",,,,,,
171,['后装电梯 两层  看房有钥匙 南北通透 采光好'],499,23570,"['怀柔', '怀柔']",4室3厅1厨3卫,顶层 (共6层),211.71㎡,复式,暂无数据,板楼,南 北,钢混结构,其他,暂无数据,集中供暖,无,2023-09-14,商品房,2003-02-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，电梯复试南北通透，  明厨明卫
                  ","
                    建成年代2005年，南北通透，双卧朝南，客厅朝南，落地窗，视野开阔
                  ",,,"
                    小区属于封闭社区，进出需要刷脸或者门禁，24小时安保，北控物业，物业费0.65元   此单元已经装好电梯 已经投入使用
                  ",,,"
                    房子业主一直自住，装修保持的干净整洁，简单收拾一下就可以入住
                  ",,,,,,
172,['龙湖花园电梯房 客厅通阳台格局 三室双卫'],439,35017,"['怀柔', '怀柔']",3室2厅1厨2卫,顶层 (共6层),125.37㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2022-12-07,商品房,2016-11-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是电梯房 满五唯一 高楼层 客厅通阳台格局 视野采光好
                  ","
                    户型是客厅通阳台格局，南边两个卧室朝南，北边一个卧室 两个卫生间 高层采光好，前后无遮挡
                  ","
                    距离小区500米青春路小区公交站，650米青春路七院，包含H56.H61.H62.H77.916快车等多路公交。交通便利。
                  ",,"
                    小区位于青春路西侧 挨着水库边 房子是小区改造后装的电梯，看房方便
                  ",,,,,,,,,
173,['欧郡香水城 5室2厅 南 北'],820,23703,"['怀柔', '怀柔']",5室2厅1厨3卫,地下室 (共2层),345.96㎡,复式,暂无数据,暂无数据,南 北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2022-09-17,商品房,2016-05-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
174,['万通龙山新新小镇 独栋别墅 前后无遮挡 位置好'],639,39126,"['怀柔', '怀柔']",6室1厅1厨2卫,底层 (共2层),163.32㎡,复式,151.08㎡,板楼,东 南 西 北,混合结构,精装,暂无数据,自供暖,无,2023-06-21,商品房,2013-08-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是独栋别墅，2016年精装修，满五唯一，没有个税和增值税
                  ",,,,,"
                    本房是2016年精装修的，可以拎包入住，一层有老人房，老人不用上下楼
                  ",,"
                    业主2016年装修的，地板和楼梯还有衣柜都是实木的，保持得很好，可以拎包入住
                  ","
                    售房原因：本房业主诚心出售，此次卖房为了腾资质，可以给换房周期
                  ",,,,,
175,['怀柔区  独栋别墅 景观好 小区环境好，看房方便'],4200,98118,"['怀柔', '怀柔']",5室3厅1厨3卫,底层 (共2层),428.06㎡,复式,暂无数据,暂无数据,南 北 东 西,混合结构,毛坯,暂无数据,自供暖,无,2021-07-10,商品房,2017-05-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是雁栖半岛的独栋别墅，小区环境好，*高，居住舒适
                  ",,"
                    雁栖半岛*配套银行：中国建设银行雁栖分行、中国银行栖美园分行、邮政储蓄银行、工商银行、配套医疗：怀柔医院、怀柔中医院、怀柔雁栖医院；餐饮有：眉州东坡酒楼、小懒羊涮肉、红螺园饭庄、红酒庄园、雁栖不夜谷等等
                  ",,,,"
                    雁栖半岛西门就是范琦路，小区东边是雁栖湖，南达怀柔城区，门口就是公交站牌，有H11路、H18路、H29路、H31路、H43路、H58路、H64路、H67路、小区西北方向2000米即是高铁雁栖湖站，向南15公里是京沈高铁怀柔南站，向西1000米即京密高速入口
                  ",,"
                    售房原因：业主卖房是属于变现 房屋现状：提前约随时可以看，业主在怀柔随时*签约 特殊要求：没有*的要求，付款周期可以商量
                  ",,,,,
176,['电梯观景房   成熟社区   配套完善  随时签约'],499,37855,"['怀柔', '怀柔']",3室2厅1厨2卫,中楼层 (共9层),131.82㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-10-06,商品房,2005-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯观景房   成熟社区   配套完善  随时签约
                  ","
                    电梯商品房，南北通透大三居，双卫，客厅朝南通阳台，双卧朝南，一个卧室朝北
                  ","
                    商场：京北大世界，青春万达广场，大星发大卖场，京客隆，农发地 
公园：滨湖公园，青春路公园，万米公园 
医院：怀柔区医院（三甲医院），怀柔区中医院，怀柔妇幼保健医院 
交通：916快车，916区间车，H61内环,H62外环，及各区域区间车
                  ",,,,,,,"
                    房子是商品房，产权清晰，无抵押，无贷款，无纠纷，随时签约！随时过户！
                  ",,,,
177,['茶坞铁路 5室3厅 南 北'],320,13979,"['怀柔', '怀柔']",5室3厅1厨2卫,顶层 (共5层),228.93㎡,复式,209.18㎡,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2022-02-19,商品房,2017-08-23,普通住宅,满五年,非共有,"
                                有抵押 60万元 怀柔农业银行 业主自还
                              ",已上传房本照片,,,,,,,,,,,,,,
178,['满五唯一 南北通透 提前预约 诚意出售 中间楼层'],360,27040,"['怀柔', '怀柔']",3室2厅1厨1卫,高楼层 (共6层),133.14㎡,平层,104.66㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,暂无数据,2021-02-02,商品房,2005-06-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一 南北通透 提前预约 诚意出售 中间楼层
                  ",,,"
                    房子产权清晰，业主诚意出售，无抵押，满五唯一商品房，首套购房有1%的契税。
                  ",,"
                    此房满五唯一，业主诚意出售，适合刚需和改善的客户群体，中间楼层，采光好，提前预约随时可看！
                  ",,,"
                    业主改善出售此房，诚意出售，看房方便，价格可谈，南北朝向，中间楼层
                  ",,,,,
179,['万通龙山新新小镇，南花园联排别墅，户型好，位置好'],535,30972,"['怀柔', '怀柔']",4室1厅1厨2卫,底层 (共3层),172.74㎡,,暂无数据,,南 北,钢结构,其他,,自供暖,,2022-07-09,商品房,2004-04-27,别墅,满五年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,"
                    小区位置出行便利，联排别墅，满五年家庭名下一套.....
                  ",,,,"
                    园区有独栋，联排，双拼等多种户型，小区2003年开盘，交房时间2008年并且房子都做好防水保温，有日式，德式，中式等风格
                  ","
                    房子距离近的有京承高速14号怀柔出口，小区环境安静，物业管理严格，适合第二住所，或者老人长期居住，怀柔空气质量好，风景优美，生活节奏低，配套医疗齐全
                  ","
                    小区环境好，出行便利，小区一共有分为三个门，分别是南门北门和东门，东门出去500米即可上京城高速！
                  ",,,"
                    房屋有抵押40万，业主自还，满五年，具体税费欢迎咨询，根据您实际情况为您计算
                  ",,,,独栋
180,['顶秀美泉欧式小镇 2层南北三居，精装修 拎包入住'],325,27738,"['怀柔', '怀柔']",3室2厅1厨2卫,中楼层 (共5层),117.17㎡,平层,105.15㎡,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,无,2023-06-06,商品房,2013-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年的商品房，南北通透，装修完一天也没住，拎包入住
                  ","
                    小区的主力户型是117平米的三居室，户型特点是南北通透，动静分明，客厅全年采光充足。12.2平米的主卧和10.3的次卧大小适中，5.2平米的卫生间可以做到干湿分离，客厅达到26.8平米，活动区域充足，北侧7.5平米的厨房还有窗户。
                  ","
                    银行：工商银行、中国银行、邮政银行、建设银行 超市：大星发超市、顶橙超市、菜园子生鲜超市超市、鲜汇生活购物商场、京东便利店 餐馆：鑫顶秀家常融合菜、玫瑰餐吧、巴比利田园火锅、罗马假日餐厅、顶秀酒吧街
                  ",,"
                    顶秀美泉小镇位于北京市怀柔区雁栖镇，距离怀柔城区4公里，背靠美丽富饶的雁栖湖，东侧2公里是怀柔科学城物理研究所，西侧800米是旅游景点燕城古街。 小区建成于2012年，一共是27栋楼，地面以上总高4层，地下有一层是车库和储藏室。
                  ",,"
                    交通主要概括为：一横、三竖、一铁路。小区门口是东西向的京加路，连接怀柔城区和小区；南北方向有杨雁路，连接杨宋和雁栖湖；京沈路，连接怀柔和北京市区；以及京承高速通往北京市区，铁路是北京北至怀柔的京郊铁路线，每天八趟车，连接小区。
                  ","
                    本房是3年前找的设计师重新装修的，用的装修材料都是好的材料，对环境零污染，对身体零伤害，从房屋的细节处能看得出来。房子的主人也是注重居住品味，家具用的是实木定制家具，家电也都是各种大品牌的，目前房屋装饰装修保持的完好。
                  ",,,,,,
181,['万通龙山新新小镇，南花园联排别墅，户型好，位置好'],535,30972,"['怀柔', '怀柔']",4室1厅1厨2卫,底层 (共3层),172.74㎡,,暂无数据,,南 北,钢结构,其他,,自供暖,,2022-07-09,商品房,2004-04-27,别墅,满五年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,"
                    小区位置出行便利，联排别墅，满五年家庭名下一套.....
                  ",,,,"
                    园区有独栋，联排，双拼等多种户型，小区2003年开盘，交房时间2008年并且房子都做好防水保温，有日式，德式，中式等风格
                  ","
                    房子距离近的有京承高速14号怀柔出口，小区环境安静，物业管理严格，适合第二住所，或者老人长期居住，怀柔空气质量好，风景优美，生活节奏低，配套医疗齐全
                  ","
                    小区环境好，出行便利，小区一共有分为三个门，分别是南门北门和东门，东门出去500米即可上京城高速！
                  ",,,"
                    房屋有抵押40万，业主自还，满五年，具体税费欢迎咨询，根据您实际情况为您计算
                  ",,,,独栋
182,['万通龙山新新小镇小区位置出行便利，小区绿化好'],850,24662,"['怀柔', '怀柔']",5室2厅1厨3卫,底层 (共3层),344.67㎡,复式,322.94㎡,板楼,东 南 北,混合结构,毛坯,暂无数据,自供暖,暂无数据,2022-10-20,商品房,2014-08-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区位置出行便利，小区密度低，双拼别墅，小区绿化好
                  ",,,,"
                    龙山新新小镇六期，位于怀柔庙城镇，京承14出口400米即到，建成与2008年-2011年，分德园和苏园，德式建筑和苏洲园林风格，共48栋楼400多户，德园分联排、双拼、独栋，苏园面积偏大都是独院设计白墙灰瓦，一半的绿化面积，小区环境很好，适合作为第二居所使..
                  ",,"
                    出小区东侧是高速入口，出行便利，小区东门有公交站，怀柔桥北。
                  ",,,"
                    房屋无抵押，无查封，产权清晰，随时签约，个人产权。看房方便。
                  ",,,,
183,['欧郡香水城独栋别墅精装修带车库看房方便业主诚意出售'],1160,26340,"['怀柔', '怀柔']",5室2厅1厨3卫,底层 (共2层),440.41㎡,复式,440.41㎡,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2023-03-25,商品房,2009-12-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，房主诚心出售精装修 花语院落200㎡
                  ",,"
                    设施完善，社区配套完善。社区内拥有6000平米动静双会所，为小镇居民提供便利而的健身、休闲、商务等场所。
                  ",,"
                    小区建于2007年 社区是北欧建筑风格，环境优美 物业公司金罗马 物业费3.6元。独立供暖，24小时安保放心，安全。
                  ",,,,,"
                    此房是房主单独产权 。产权清晰，无抵押，可以直接交易，诚意出售。
                  ",,,,
184,['万通龙山新新小镇边户看房方便业主稳定出售'],678,23281,"['怀柔', '怀柔']",5室2厅1厨3卫,底层 (共3层),291.23㎡,复式,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2023-03-25,商品房,2005-05-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房房主诚心出售，看房方便，随时可以签约。
                  ","
                    此房户型属于叠拼户型，地上三层，地下一层，因为属于边户，所以西侧和南侧都有自己的院子，房子户型很方正，没有浪费面积。
                  ",,,,,"
                    小区位置很好，位于京承高速十四出口500米的位置，开车出小区就可以上高速，出行很方便。
                  ",,"
                    本房房主诚心出售，看房也很方便，提前预约就可以。房子的位置也很好，前后都不临街，也没有任何遮挡，采光很好。
                  ",,,,,
185,['地段好 生活便利 中间楼层 双卫 满五唯一 业主诚意卖'],305,30334,"['怀柔', '怀柔']",3室2厅1厨2卫,中楼层 (共6层),100.55㎡,平层,87.95㎡,板塔结合,南 北,混合结构,简装,暂无数据,集中供暖,无,2022-11-03,商品房,2002-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，地段好，怀柔水库，万达，京北大世界，中医院
                  ",,"
                    步行1000米内可达，万达广场、京北大世界、怀柔体育馆、怀柔中医医院、早市、龙山、怀柔水库等。
                  ",,,,"
                    从小区自驾上高速1公里，公交916快及内环H61距离500米，小区门口有外环H62公交
                  ",,"
                    业主为了换房，诚意出售，看房有钥匙都方便，自住装修干净.业主很信任链家。
                  ",,,,,
186,['龙山御景 水库边 电梯房 采光好 拎包入住'],530,37233,"['怀柔', '怀柔']",3室2厅1厨2卫,低楼层 (共18层),142.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023-01-08,商品房,2021-01-07,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满二唯一，原值高，无抵押无贷款，拎包入住
                  ","
                    房子楼龄2015年，两梯三户，三室两厅，南北通透。主客分明，私密性安全。
                  ","
                    小区西侧是怀山柔水公园加怀柔水库，北侧是在建酒店以及万达商场，东侧是中医医院和京北大世界商场
                  ",,,"
                    适合怀柔本地老人，把老房子换到电梯房子；第二种适合北京市里过来的休闲度假客户，既有怀山柔水，又有万达商场。
                  ",,"
                    精装修，完全可以拎包入住，业主一直自住，保持的很好，看房方便，我有钥匙
                  ",,,,,,
187,['顶秀美泉4+1格局大三居，两层面积可以使用'],460,29079,"['怀柔', '怀柔']",3室2厅1厨2卫,顶层 (共4层),158.19㎡,复式,141.83㎡,板楼,南 北,钢混结构,毛坯,暂无数据,集中供暖,无,2023-04-21,商品房,2016-10-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年商品房，4+1两层大格局，小区少有户型
                  ","
                    本房的户型是南北通透格局，客厅通阳台，两个卧室在阳面，全年采光充足
                  ",,,"
                    顶秀美泉小镇是怀柔雁栖镇主打居住的舒适小区，70年大产权，欧式住宅，小区绿植很多，走在小区里夏天凉爽，冬天暖气充足不冷
                  ",,,"
                    房子是毛坯状态，省去了拆除地板得麻烦，随时可以设计装修，节省拆除费用
                  ",,,,,,
188,['顶秀美泉南北通透格局，楼层适宜，视野宽阔，采光充足'],300,26279,"['怀柔', '怀柔']",3室2厅1厨1卫,中楼层 (共4层),114.16㎡,平层,99.17㎡,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,暂无数据,2023-05-04,商品房,2011-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透格局，楼层皆适宜，视野宽阔，采光充足，交通便利。
                  ","
                    户型上南边是全南向眼镜户型，客厅两间卧室都是南向，如果家里有老人的居住合适，小区楼龄新，环境好，品质高，物业管理完善。
                  ",,,"
                    顶秀美泉小镇为怀柔区低密生态优质小区绿化面积较大，住宅楼78栋，总户数为2045户；物业为北京鸿路泽物业管理有限公司，24小时物业管理，配套设施齐全，小区内停车位充足
                  ","
                    孕婴老幼都适合，业主是今年初装修完的，可以直接拎包住，小区人车分流，人文环境好，家里有老人小孩都可以居住，配套齐全，2公里内，菜市场，超市，医疗，公园等设施设备齐全。
                  ",,,,,,,,
189,['万通龙山新新小镇 把边儿联排别墅'],695,39180,"['怀柔', '怀柔']",4室2厅1厨2卫,底层 (共3层),177.39㎡,,暂无数据,,南 北,未知结构,精装,,暂无数据,,2023-03-22,商品房,2007-05-08,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子南北通透，后入户，前花园，有一个固定车位在房子门口
                  ",,,"
                    房屋没有抵押，满五年，具体税费欢迎咨询，根据您实际情况为您计算
                  ",,"
                    房子距离近的有京承高速14号怀柔出口，小区环境安静，物业管理严格，适合第二住所，或者老人长期居住，怀柔空气质量好，风景优美，生活节奏低，配套医疗齐全
                  ","
                    一般适合自驾出行，进主城区的话有公交车866.916.916快，自驾是京承高速怀柔站，高铁在怀柔区杨宋镇
                  ",,,,,,,暂无数据
190,['怀柔区庙城万通新新小镇  业主诚心出售'],618,24562,"['怀柔', '怀柔']",3室2厅1厨3卫,底层 (共3层),251.61㎡,复式,232.89㎡,板楼,南 北,混合结构,精装,暂无数据,自供暖,无,2021-06-13,商品房,2008-12-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    业主诚心出售，房子南北通透！后入户花园，有固定车位。
                  ",,,,,"
                    房子*是京承高速第14出口，小区安静，*高，物业管理严格，适合第二住所，居家老人长期居住，怀柔空气质量好，风景优美，生活节奏低，配套医疗齐全。
                  ","
                    一般适合自驾出行，近主城区的话有，公交866，到达地铁望京站 916，916快直达西坝河，自驾是京承高速怀柔站，高铁站在怀柔南站杨宋。
                  ",,,"
                    房子没有抵押，满五年，具体税费欢迎咨询！根据您实际情况给您计算。
                  ",,,,
191,['龙山逸墅 边户 装修好 京城高速边'],780,24668,"['怀柔', '怀柔']",4室2厅1厨4卫,底层 (共2层),316.21㎡,复式,301.12㎡,板楼,南 北,钢混结构,其他,暂无数据,集中供暖,暂无数据,2023-03-11,商品房,2014-04-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    联排别墅西边户，装修好，地上三层地下一层，采光好
                  ",,"
                    小区配套齐全，有万达广场，京北大世界 。医院：庙城医院，怀柔中医医院，怀柔医院 邮局：中国邮政 银行：中国银行、工商银行、建设银行、农业银行 其他：山水天地酒文化公园、飞腾影视城、湄州酒家
                  ",,,,"
                    万通龙山逸墅位于怀柔庙城镇422号,京承高速第14号京密路出口,出来后直行400米（数据来源于百度地图）路左即到，小区旁边公交车站有：970、866、916、980等
                  ",,"
                    售房原因：换房，并已经订房，诚意出售。空置中，晚些留钥匙，看房方便。
                  ","
                    贷款抵押：产权清晰，没有抵押，没有贷款。售房原因：业主卖房是为了换房
                  ",,,,
192,['顶秀美泉欧式小镇 电梯房 客厅通阳台 南北通透 精装'],323,36370,"['怀柔', '怀柔']",2室1厅1厨1卫,顶层 (共5层),88.81㎡,复式,76.32㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-08-02,商品房,2017-08-04,普通住宅,满五年,共有,"
                                有抵押 75万元 农业银行
                              ",已上传房本照片,"
                    5+1两层大两居  满五唯一   精装修 即买即住
                  ",,"
                    小区有银行：工商银行、中国银行、邮政银行、建设银行 
小区有超市：大星发超市、顶橙超市、菜园子生鲜超市超市、鲜汇生活购物商场、京东便利店 
小区有餐馆：鑫顶秀家常融合菜、玫瑰餐吧、巴比利田园火锅、罗马假日餐厅、顶秀酒吧街
                  ",,"
                    顶秀美泉小镇位于北京市怀柔区雁栖镇-雁栖湖南侧，距离怀柔城区4公里，背靠美丽富饶的雁栖湖，东侧2公里是怀柔科学城物理研究所，西侧800米是旅游景点燕城古街， 小区建成于2015年，一共有22栋楼，地面以上总高5层，地下有一层是车库和储藏室
                  ",,"
                    小区的交通主要概括为：一横、三竖、一轨道  
小区南侧100米是东西向的京加路，连接怀柔城区和小区  
南北方向道路有杨雁路，连接杨宋和雁栖湖 
京沈路，连接怀柔和北京市区  以及京承高速通往北京市区，轨道交通有西直门到小区的S5号线
                  ",,,,,,,
193,['顶秀美泉小镇A区 4+1三居室，精装修'],350,31340,"['怀柔', '怀柔']",3室2厅1厨3卫,顶层 (共4层),111.68㎡,复式,97.18㎡,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,无,2023-10-12,商品房,2011-05-20,普通住宅,满五年,非共有,"
                                有抵押 51万元 光大银行
                              ",已上传房本照片,"
                    正规三居室 上下复式 价格可议 看房提前联系有钥匙
                  ",,"
                    中国建设银行雁栖分行、中行栖美园分行、邮政储蓄银行、工商银行、北京农村银行范各庄分行；医院：怀柔医院、怀柔中医院、怀柔雁栖医院；餐饮：眉州东坡酒楼、红螺园饭庄、小懒羊涮肉、农家乐、红酒庄园、雁栖不夜谷，鱼香来等
                  ",,"
                    顶秀美泉小镇是怀柔区低密生态小区，ABC三区一共78栋住宅楼，总户数为2045户；物业为北京鸿路泽物业管理有限公司，小区24小时物业管理，A区C区物业费1.35，B区3.5；配套设施齐全，小区内停车位充足；
                  ",,"
                    小区门口就是京加路，小区北接雁栖湖，南达怀柔城区，门口就是公交站牌，有H11路、H18路、H29路、H31路、H43路、H58路、H64路、H67路、小区西北方向2000米即是高铁雁栖湖站，向南15公里是京沈高铁怀柔南站，向西1000米即京密高速入口
                  ",,,,,,,
194,['独栋别墅  花园面积大 天恒半山世家'],1099,52822,"['怀柔', '怀柔']",5室2厅1厨3卫,底层 (共3层),208.06㎡,复式,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2023-09-10,商品房,2009-10-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    产权清晰，随时签约走手续，看房需要提前联系业主。
                  ",,"
                    红螺寺距离本小区近，属于4A级景区。世纪华联 怀柔店）。银行：中国农业银行、北京农商银行、中国邮政储蓄银行。医院：北京中医医院怀柔医院。交通：H1路、H2路内环、H57路、H62路、H78路、916路快车等多趟公交车。
                  ",,"
                    天恒半山世家项目位于北京东北方向怀柔4A级风景区内，比邻怀柔水库、红螺湖、红螺寺景点，纯独栋别墅，小区分为五期开发，一二期产品共计314栋，位于项目东部和中部地块，目前已入住。其三四期产品位于项目南部地块。均为地上2层，地下1层设计。
                  ",,,,,"
                    本房产权清晰，业主一个人的本，没有抵押，家庭售房意见一致，随时可签约。
                  ",,,,
195,['南北通透 满五唯一 精装修 业主诚意出售'],399,23962,"['怀柔', '怀柔']",3室2厅1厨2卫,低楼层 (共8层),166.52㎡,平层,146.03㎡,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2021-11-07,商品房,2013-11-26,普通住宅,满五年,非共有,"
                                有抵押 115万元 农行怀柔支行 客户偿还
                              ",已上传房本照片,"
                    此房是南北通透，明厨明卫，带电梯，业主诚意出售
                  ","
                    房子建成年代2012年，带电梯，南北通透两居室，卫生间有窗采光通风好，面宽大，采光充足。
                  ","
                    公园：凤翔公园、北京鹿世界主题园。银行：北京银行、中国邮政储蓄银行、北京农商银行。医院：北京市怀柔区杨宋镇社区卫生服务、北京怀柔医院。交通：大广高速、京密路、京承高速、怀柔南站（本房距离高铁站3.2公里，现在每天5班车到北京朝阳站）出行便利
                  ",,,"
                    小区自然环境良好，房子带电梯，南北通透，适合居住，老人，孩子，年轻人住起来都合适
                  ",,,,,,,,
196,['世嘉光织谷 全明格局 精装修电梯房 着急出售 3室2厅'],350,25978,"['怀柔', '怀柔']",3室2厅1厨1卫,中楼层 (共6层),134.73㎡,平层,115.66㎡,板楼,东 南 北,钢混结构,其他,一梯三户,集中供暖,有,2023-02-17,商品房,2013-04-24,普通住宅,满五年,非共有,"
                                有抵押 300万元 农业银行
                              ",已上传房本照片,"
                    此房满五不唯一精装修，全明格局 采光充足
                  ",,"
                    公园：滨河森林公园医院：怀柔医院（备注：现状为二级甲等综合医院，在现址改造升级后将扩大为三级甲等医院）、怀柔区雁栖镇医院
                  ",,"
                    小区环境美，绿地率高，半人车分流，外围一圈走机动车，内围适合小孩子玩耍。
                  ","
                    适宜人群：适合一家人，老人小孩都可以，电梯洋房。半人车人流，小孩在小区公园内游玩很安全。
                  ","
                    交通出行便利，距离怀柔县城近，交通安全，没有发生过任何交通事故； 小区外面有共享单车租赁，有专门的骑车赏景路线。
                  ",,,,,,,
197,['鸿翔花园 4室3厅 南 北'],1500,42125,"['怀柔', '怀柔']",4室3厅1厨3卫,底层 (共3层),356.09㎡,复式,356.09㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-10,商品房,2010-09-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
