,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,户型介绍,税费解析,周边配套,交通出行,装修描述,权属抵押,售房详情,用水类型,用电类型,燃气价格
112,['核二院 一层  南北通透三居  看房有钥匙'],890,122929,"['海淀', '定慧寺']",3室1厅1厨1卫,底层 (共6层),72.4㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-30,央产房,2023-05-31,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透的公房，楼龄新，小区环境好，户型方正
                  ",,,"
                    户型方正，没有浪费面积，标准田字格三居室，双卧室朝南，小卧室朝北，每个功能间都很大，一层下水属于单独走的，小区管理好，楼道干净整洁，居住人口素质高
                  ",,"
                    生活配套齐全，三甲医院有海军总医院，空军总医院，304医院，生活超市有物美超市，永辉超市，玉渊潭公园，紫竹院公园等距离小区都是在2公里范围之内（根据百度地图）地铁站有6号线花园桥，10号线西钓鱼台，9号线白堆子。
                  ",,,,"
                    产权清晰，户口可迁走，业主一家也一致同意出售，此房无抵押等情况，现在卖房主要是变现，无抵押看房基本随时
                  ",,,
113,['金沟河5号院 低楼层 南北通透 前方无遮挡 诚心出售'],560,81278,"['海淀', '五棵松']",3室1厅1厨1卫,低楼层 (共6层),68.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-22,央产房,2023-11-20,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，南北通透格局好，低楼层，视野开阔，采光充足。
                  ","
                    小区是航天单位分房，人员素质高，物业管理好，楼道比较干净。停车方便。
                  ","
                    本房是低楼层，家里有老人或者带小孩的客户也可以考虑，上下楼方便
                  ","
                    本房是正规三居室，主卧朝南带阳台，目前和客厅打开了，一个卧室和厨房朝北，套内多为非承重墙，可以按照自己想法设计。
                  ",,,,,,,,,
114,['建设部大院 东南向三居室 独门独院入户 全屋新风系统'],915,117459,"['海淀', '甘家口']",3室1厅1厨1卫,底层 (共4层),77.9㎡,平层,暂无数据,板楼,东 南,混合结构,精装,暂无数据,集中供暖,无,2023-08-10,商品房,2019-09-10,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    独门独院入户门，业主诚心出售，层高3.3米，居住起来比较舒服
                  ","
                    小区是万科物业，物业费2.2元，管理很好，小区已经进行过老旧小区改造，24小时保安巡逻，楼下是小区的花园，适合孩子玩耍
                  ","
                    适合家有有老人的，楼层较低，配套齐全，小区有菜市场、公园、不临街、距离医院近
                  ",,,"
                    与西城三里河路交界，地理位置的优越性显而易见，大型购物：如甘家口商场、美廉美、永辉等， 医疗配套：海军总医院、空军总医院，园区内建设部幼儿园等。
                  ","
                    小区距离地铁6.9号线白石桥南站仅600米，地铁16号线甘家口站500米，另外有多条公交线路在此经过，交通便利。
                  ","
                    1水电彻底改造，下水单独建井，与楼上切隔，油烟管道独立外排 2全屋松下新风系统，美的吊顶空调，3全屋加装密闭窗确保隔音 4全屋精装修
                  ",,,,,
115,['五道口 展春园 南北三居 中间层'],510,74453,"['海淀', '五道口']",3室1厅1厨1卫,高楼层 (共6层),68.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-10-06,商品房,2010-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    五道口 展春园 南北三居 中间层
                  ","
                    展春园小区位于五道口商圈，成熟商圈，配套完善，近地铁13号线五道口站，10号线知春路站，购物方便，出小区北门就是华联商厦。小区里幼儿园，社区医院，便民菜店。小区内居民素质高，人文环境也很好，适宜居住。
                  ",,,,"
                    展春园小区位于五道口商圈，成熟商圈，配套完善，近地铁13号线五道口站，10号线知春路站，交通便利。购物方便，华联商厦，圣熙八号。有大型三甲医院，北医三院，小区内还有幼儿园。
                  ","
                    展春园小区南边是北四环，出小区很快就可以上四环，小区西北方向是13号线五道口地铁站，距离该房1公里（测量来自百度地图），交通方便。
                  ",,,,,,
116,['97年楼龄，南向精装修一居室，阳台不算面积'],379,92893,"['海淀', '牡丹园']",1室1厅1厨1卫,底层 (共7层),40.8㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,集中供暖,无,2023-11-08,商品房,2020-04-10,普通住宅,满两年,非共有,"
                                有抵押 125万元 业主自还
                              ",已上传房本照片,"
                    97年楼龄楼栋整体已改造，一层阳台不算面积，精装修拎包入住
                  ",,,"
                    97年楼龄，楼栋整体外立面和水电均已改造，纯南向正规一居室，户型方正无浪费面积，卧室朝南带阳台，前方没有任何遮挡，采光充足，厨房的窗户外可以养花种菜，主卧室除了阳台不算面积外，窗户向外延伸了1米宽左右，房子实际面积很大
                  ",,"
                    龙翔路小区公园:北寺公园、元大都遗址公园、马甸公园；银行：建设银行、中国银行、光大银行、浦发银行。购物广场：翠微百货、家乐福、美廉美。医院：北医三院、306医院、解放军总医院。
                  ","
                    龙翔路小区位于地铁10号线牡丹园站和健德门的中间位置，现在已经开通的地铁19号线，牡丹园是始发站，东侧是八达岭高速，北侧是北四环，出行方便，公交车线路也众多
                  ","
                    精装修保持良好，简单收拾一下即可拎包入住，房子屋内的窗户都是2021年整体换的断桥铝窗户，屋内其他装修材料用的也都是环保的。
                  ","
                    房子产权清晰没有抵押 ，有户口可迁出，业主诚心售房， 随时签约
                  ",,,,
117,['公主坟翠微万寿路，颐源居小区小一居室，购房成本低'],555,110273,"['海淀', '公主坟']",1室1厅1厨1卫,高楼层 (共28层),50.33㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯十四户,集中供暖,有,2023-11-10,商品房,2015-10-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区门槛总价，20万精装，中间层西南向采光好，税费少
                  ","
                    颐源居，西三环公主坟区域大型醇熟的商品房社区，社区位置优越，三环边，东临沉淀着历史的玉渊潭公园（占地132万㎡，其中水域60万），北侧依着北京少有的活水昆玉河水系，自然资源丰厚且独特。社区内部4万平绿化公园，内外部自然环境人文环境都很好
                  ",,,,"
                    颐源居小区地处老牌公主坟商圈内，西三环玉渊潭公园边。小区为区域内大型且醇熟的临河商品房社区，北侧昆玉河流淌，小区东北门步行至玉渊潭公园仅290米，自然资源得天独厚。商圈配套不赘述，社区自带物美、汇佳双语幼儿园、健身房游泳馆、银行ATM等
                  ","
                    小区属于公主坟商圈，区域南侧是长安街，东侧是西三环，北侧是阜成路（阜石路），开车出行便利。南侧地铁1号线公主坟、万寿路站，北侧10号线西钓鱼台站，区域80多条公交线（包括机场线），公共交通四通八达。
                  ","
                    房子是2015年20万的精装修，装修品质高、保持得也很好，不存在新装修带来的污染，买过来可以直接住或出租，省时省心省力
                  ",,"
                    本房为链家交易的业主房产，产权干净清晰，房本已满五年，无异议、无查封等，房本、身份证已核实过，可放心交易
                  ",,,
118,['此房是满五唯一的住房，户型好 对着小区休闲广场'],330,83970,"['海淀', '定慧寺']",1室1厅1厨1卫,中楼层 (共6层),39.3㎡,平层,暂无数据,板楼,东,混合结构,精装,暂无数据,集中供暖,无,2023-11-10,商品房,2018-07-23,普通住宅,满五年,非共有,"
                                有抵押 105万元 工商银行 业主自还
                              ",已上传房本照片,"
                    此房是满五唯一的住房，户型好 对着小区休闲广场
                  ","
                    定慧西里小区是一个成熟的老小区小区一共有28幢楼，2015年整体做了老旧小区改造，小区主要人群是原单位员工，还有上班的白领居住整体素质比较高，小区南边是定慧公园，从小区有小门可以直接进入，是老人孩子放松休闲的好地方
                  ",,,,"
                    小区南边就是慧宝公园，早上可以健身锻炼，适合一家人饭后娱乐休闲；距离物美1.5公里，距离家乐福1.3公里；有空军总医院，304医院以及301医院等综合性三甲医院，医疗设施比较齐全
                  ","
                    小区东侧有定慧寺南车站有89路、634路公交车，北侧有定慧寺东车站有运通102、106，414、977、121路等20多条线路可以直达航天桥、北京西站、阜成门等等，往东去有10号线地铁西钓鱼台站公交车1站地，交通便利
                  ",,,,,,
119,['店长推荐：高楼层视野好 三室双卫好利用 看房方便'],1338,104450,"['海淀', '小西天']",3室2厅1厨2卫,中楼层 (共23层),128.1㎡,平层,暂无数据,塔楼,西 南,钢混结构,精装,两梯八户,集中供暖,有,2023-11-15,商品房,2015-11-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子楼层高，无遮挡采光好，三个卧室格局很好利用。
                  ","
                    今典花园小区是2003年的社区，小区封闭式管理，24小时保安值班 每个门口都有人值班，随叫随到。小区地下三层车库，人车分流，出小区就有菜市场，工商银行，咖啡厅，17.5电影城，健身房，潜水俱乐部。
                  ",,,,"
                    西侧有枫蓝国际购物商场，满足吃喝、购物、带孩子娱乐一应需求，南侧是佳果多生活超市，有三所三甲医院，人文气息浓郁
                  ","
                    距离小区最近的地铁是西直门地铁，出小区门口有498公交车可以直接到积水潭地铁，小区位于北二环北三环中间位置，出行便利。
                  ",,,,,,
120,['新苑街10号院 新上96年一室一厅 全明格局 随时看房'],468,102858,"['海淀', '甘家口']",1室1厅1厨1卫,底层 (共6层),45.5㎡,平层,暂无数据,板楼,西南,混合结构,精装,暂无数据,集中供暖,无,2023-11-07,已购公房,2003-02-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，全明格局，正规一室一厅，不临街采光好，随时看
                  ",,,"
                    1996年左右建成，房龄比较新，适用公积金贷款。明厨明卫户型，带有客厅，方正好利用。 小区做过改造，地理位置不错，步行到地铁6/9号线白石桥南站约254米。
                  ",,"
                    美食：新疆餐厅、庆丰包子铺、阜北三街美食街等； 超市：永辉、物美、顺天府、甘家口商场等； 公园：紫竹院公园（免费）、玉渊潭公园等； 医院：北大口腔、北大人民、空军总医院、甘家口社区医院等
                  ","
                    小区往西约255米有地铁6/9号线白石桥南站；还有四道口北和白石桥南公交站，出行很方便
                  ",,,,,,
121,['裕隆新村 南向 中间楼层 满五年'],560,87432,"['海淀', '马连洼']",2室1厅1厨1卫,中楼层 (共6层),64.05㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,自供暖,无,2023-11-02,二类经济适用房,2015-07-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    裕隆新村 中间楼层 全明格局 全南向
                  ","
                    裕隆新村小区又名裕禧隆园，2009年建成，固定停车，地上和地下都有停车位，地上有自行车棚，小区内绿植大部分是梧桐树，出行生活配套齐全便利
                  ",,"
                    房子原始格局是一居室，现在改成两居了，全朝南，按一居室的话就是全明格局的
                  ",,,,,"
                    房本已经满五年了，家庭名下也没别的房子，售房意见统一，无纠纷
                  ",,,,
122,['万柳光大家园 精装修两居 采光好 不临街'],1380,145371,"['海淀', '万柳']",2室1厅1厨1卫,中楼层 (共17层),94.93㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯十户,自供暖,有,2023-11-07,商品房,2017-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    光大花园精装修两居，户型方正，只有契税，朝小区院子里
                  ","
                    光大花园,2000年的商品房社区,小区环境很好,中海物业,管理很好.小区居住人群素质高,有两栋楼是北理工老师和教授.小区里有会所和游泳馆,每栋楼都有一个保洁,每天都会打扰卫生,楼道很干净.小区共10栋楼，其中2号楼是海淀区环保局，6号楼是健身房。
                  ",,,,"
                    休闲健身：小区西侧400米美丽的长春健身园和巴沟山水园；配套：百度地图显示，往西距离世纪金源购物1300米，往北距离北京华联万柳购物1100米；银行1000米左右的步行范围内，分布着：工商，中国，农业，建设，交通，招商，中信，浦发，北京等各大银行
                  ","
                    四条地铁线交汇于此，距离地铁10号线长春桥站800米，距离地铁西郊线(又称香山线、旅游观光)和地铁10号线巴沟站1600米、距离地铁12号线（2023年底通车运营）及地铁16号线（已经全线开通）的汇合换乘站—苏州桥站仅600米。
                  ",,,,,,
123,['海淀嘉郡 2室1厅 南 北'],410,51289,"['海淀', '海淀北部新区']",2室1厅1厨1卫,中楼层 (共16层),79.94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,暂无数据,2023-11-12,自住型商品房,2018-08-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,
124,['急售房源海淀区前沙涧同泽园西里南北通透采光好楼层好'],265,39098,"['海淀', '海淀其它']",2室1厅1厨1卫,中楼层 (共6层),67.78㎡,平层,56.32㎡,板楼,南 北,钢混结构,简装,暂无数据,集中供暖,暂无数据,2023-11-08,一类经济适用房,2014-06-16,普通住宅,满五年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,"
                    满五年唯一， 南北通透简单装修，板楼6层的4层
                  ","
                    小区是城建集团开发的社区，总高6层板楼社区，集中供暖楼间距大，物业费低
                  ",,"
                    2012年板楼社区，南北通透格局方正布局合理，集中供暖停车免费。
                  ",,,,"
                    房子简单装修，原本没打算出租，选材和做工考究细致，拎包入住。
                  ",,,,,
125,['同泽园西里  低楼层两居  精装修  南北通透'],269,39699,"['海淀', '海淀其它']",2室1厅1厨2卫,低楼层 (共6层),67.76㎡,平层,56.32㎡,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,暂无数据,2023-11-01,一类经济适用房,2013-12-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透格局两居室，楼层好。
                  ","
                    小区是城建集团开发的社区，总高6层板楼社区，集中供暖楼间距大，物业费低
                  ",,"
                    2012年板楼社区，南北通透格局方正布局合理，集中供暖停车免费。主卧室朝南，次卧室朝北。
                  ",,,,,,"
                    业主卖房原因是置换，现在房屋状态是 自住状态，精装修。付款方式是贷款全款都能接受。
                  ",,,
126,['南北通透小两居，中间层，2年前精装自住。'],670,77021,"['海淀', '海淀北部新区']",2室1厅1厨1卫,中楼层 (共9层),86.99㎡,平层,68.78㎡,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,2023-11-05,商品房,2021-02-06,普通住宅,满两年,非共有,"
                                有抵押 4万元
                              ",已上传房本照片,"
                    南北通透小两居，中间层，2年前精装自住。
                  ","
                    小区一共是99栋住宅楼，另外有小区内部有生活超市、饭馆、培训机构，幼儿园、社区医院等公共配套。生活设施配套相对成熟
                  ",,"
                    2011年商品房，钢混结构，南北通透，户型方正
中间层采光视野良好，出行方便，步行100米有公园
                  ",,,,"
                    装修是两年前弄完的，品牌家具家电，大部分时间空置，没有出租过，目前是自己住上了。可以节省一部分装修费用和时间精力
                  ",,,,,
127,['西木小区 中间位置 南北朝向 2居室 交通便利 采光好'],399,74026,"['海淀', '田村']",2室1厅1厨1卫,顶层 (共5层),53.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-12,已购公房,2010-10-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一 南北朝向 视野采光好 交通便利 位置安静
                  ","
                    此房所在小区是1992-1993年的公房社区，一共为18栋楼。其中1-14号楼为板楼，15-18号楼为塔楼。小区以17、18号楼为分界点，以西是1-8号楼，多为5层高，其中只有7号楼有半地下，以东是9-16号楼，在2015年年底做的修整，小区17年10月更换的物业，管理加强了
                  ",,,"
                    满五年公房，家庭名下在京一套住房，首套购买是1%的契税，15.6元每平米的土地出让金；二套购买是3%的契税，15.6元每平米的土地出让金
                  ",,"
                    出小区东南门，走90米就是公交站五路桥站，多路公交车可到达，向东210米过一个过街天桥就是地铁6号线终点站海淀五路居站A出口（数据来自百度地图）
                  ",,,,,,
128,['此房成本价住房，靠谱出售，视野好，无遮挡，诚意出'],428,72176,"['海淀', '马连洼']",2室1厅1厨1卫,顶层 (共6层),59.3㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-09,已购公房,2019-06-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房成本价住房，靠谱出售稳定签约，视野好，无遮挡，诚意出售
                  ","
                    小区是公房社区，一共29栋楼，1705户，开发公司：北京海开房地产股份有限公司，物业公司：北京东居物业管理有限公司。小区物业费0.8元/每平米，市政集中供暖，30元/每平米。小区车位充足，有停车场。1995年左右楼龄，小区是板楼，砖混结构。
                  ",,,,,"
                    小区北门50米（数据来自高德地图）是公交站，有328,518,108,375,449,476,等路公交车。距离小区1600米（数据来自高德地图）是地铁16号线马连洼站C口，距离小区1700米（数据来自高德地图）上地华联。距离小区4400米（数据来自高德地图）是百望山森林公园。
                  ",,,"
                    业主出售本房是换房，产权清晰，诚意出售，随时签约，诚意诚意度高
                  ",,,
129,['翠微南里带电梯 格局方正  三居带客厅'],868,95732,"['海淀', '公主坟']",3室1厅1厨1卫,低楼层 (共18层),90.67㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯七户,集中供暖,有,2023-11-02,商品房,2020-09-18,普通住宅,满两年,共有,"
                                有抵押 120万元
                              ",已上传房本照片,"
                    房子满二年，原值高，税费少，精装修，产权清晰
                  ","
                    翠微南里一共21栋楼，其中塔楼是3栋，这套房子是塔楼带电梯的。楼下有两个小广场，有简单的建设器材，小区属于公房社区，新住户多数为航天系统，金融等等高知客户，居住人群素质高。
                  ",,,"
                    房子是商品房性质，满五年且家庭名下在京唯一住宅，首套购房1%契税，二套按3%收取，免征个人所得税和增值税，具体详细税费欢迎您随时咨询
                  ",,"
                    小区门口是翠微南里公交车站，地铁是1号线万寿路地铁站，到地铁口600米（数据来源百度地图），出行方便
                  ",,,,,,
130,['满五唯一，95年建成，钢混结构，视野开阔，带电梯'],467,93964,"['海淀', '公主坟']",1室1厅1厨1卫,顶层 (共16层),49.7㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯十三户,集中供暖,有,2023-10-29,商品房,2015-04-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，95年建成，钢混结构，视野开阔，带电梯
                  ","
                    翠微中里属于公房社区，小区整体比较大，不同于封闭性的小区，翠微中里的住宅楼之间还有社区医院、菜市场、招待所等建筑，各区域间基本用铁围栏或铁门分隔开，各区域间基本不干扰。小区环境还不错，公共区域卫生比较好，小区道路比较干净，院里有两个花园。
                  ",,"
                    房子是正规一居室，带电梯，视野开阔，房子实际面积大，一家三口可以自住
                  ",,"
                    翠微中里小区属于公主坟商圈，东边有玉渊潭公园，西北侧有物美超市，东侧及南侧有凯德MALL和凯德精品，北侧为空军总医院，西侧基本都是军事管理区和领导大院，配套较为成熟，日常生活购物、休闲娱乐等都比较便利。
                  ",,,"
                    房子无抵押，无查封，无任何限制交易，产权清晰，商品房，随时可以交易
                  ",,,,
131,['万寿路12号院 精装两居室  业主诚意出售'],502,88693,"['海淀', '公主坟']",2室1厅1厨1卫,底层 (共6层),56.6㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-11-06,商品房,2020-07-29,普通住宅,满两年,非共有,"
                                有抵押 383万元 民生银行 客户偿还
                              ",已上传房本照片,"
                    94年板楼，东西向两居室，低总价，近地铁
                  ",,,"
                    东西通透两居室，主卧室朝东，次卧室朝西，入门是一个小客厅，户型方正，格局合理，没有浪费的空间，居住舒适
                  ",,"
                    此房在万寿路东侧，治安比较好，小区出门左转即是超市发，小区隔壁有多家银行，生活设施比较完善
                  ","
                    出小区就是公交车站，有32路，627路、33路、77路等，距离一号线万寿路地铁站362米，交通便利
                  ",,,,,,
132,['建设部大院内正规两室一厅、好户型、不临街'],770,121836,"['海淀', '甘家口']",2室1厅1厨1卫,低楼层 (共16层),63.2㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯九户,集中供暖,有,2023-11-06,已购公房,2009-01-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一央产房、正规两室一厅、楼下是小区花园
                  ","
                    部委大院，环境优美，小区内部有多个花园，停车方便随到随停，24小时保安轮流值班。小区内部有幼儿园、机关食堂，蔬菜水果店、理发店、快餐店等。小区东门有一片银杏大道，每年秋季是小区一道美丽的风景线
                  ",,,,"
                    小区南门就是甘家口商场生活购物比较方便，北门步行50米是地铁6/9号线白石桥南站。小区外还有兴业，建设，招商、中信等多家银行，小区位于紫竹院公园和玉渊潭公园中间位置。往南有海军总医院，甘家口社区医院等
                  ","
                    建设部大院北门口就是地铁6/9号线白石桥南站，东门口在建的地铁16号线二里沟站，公交是四道口东站和百万庄站，多路公交通过，可直达中关村，金融街等地，出行方便
                  ",,,,,,
133,['阜成路49号院水1楼，商品房满五年唯一，看房随时。'],480,89054,"['海淀', '定慧寺']",3室1厅1厨1卫,底层 (共6层),53.9㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-12,商品房,2015-08-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房户型方正，中间楼层，正规小三居室户型，1层，免爬楼梯。
                  ",,"
                    适合不同人群居住，中间楼层，户型方正，小区位置好，产权清晰。
                  ",,,"
                    出南门有华光商场，购物便利；距离空军总医院500米，三甲医院多；地铁西钓鱼台700米
                  ","
                    出行便利，出小区南门有公交站航天桥西站点，线路（40，62，87， 612，634，86，977）
                  ",,,,,,
134,['02年商品房有电梯高楼层，视野景观好、配套齐全'],645,88526,"['海淀', '学院路']",2室1厅1厨1卫,中楼层 (共27层),72.86㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯二十户,集中供暖,有,2023-11-09,商品房,2009-12-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，高楼层有电梯，采光视野都不错。
                  ","
                    小区往北十字路口就是昌平南延线（学知园站），小区一共八栋楼，1号楼和2号楼是商品房；剩余都是公房，多数为768厂、石油、北京电视台、大唐电信，建筑规划等单位职工，24小时门岗和单元门禁完好；小区中间有健身活动场所和公园。
                  ","
                    适宜人群，结婚当婚房，或者3口之家可把小卧室恢复，因为有电梯且朝向采光好，老人住也可以，冬天暖气也充足，这个地段离定点医院北医三院近且交通便利，小区停车费实惠大概每年1000元！
                  ",,,"
                    小区生活便利：出小区左转是学知园公交车站355路;478路;490路;606路;632路;693路;快速直达专线4路;夜4路;运通103线;运通126线共计12趟公交；东门规划的有昌平南延线地铁学知园站，已经开通；3个公园：八家公园，小月河，逸成体育公园；有圣熙八号5层商场购物
                  ",,,,,,,
135,['北洼西里1996年楼龄满五年唯一，精装三居室有客厅'],708,90770,"['海淀', '紫竹桥']",3室1厅1厨1卫,中楼层 (共18层),78㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,两梯九户,集中供暖,有,2023-11-12,商品房,2015-09-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五年唯一商品房性质，中间楼层，精装修，产权无抵押
                  ","
                    北洼西里鼎立社区，这个院里有3栋楼，二建集团所建，楼龄是1996年的，小区内停车是先到先停不收费，目前停车位紧张
                  ",,,,,"
                    从北洼西里鼎立社区门口至慈寿寺地铁B口（地铁10号线和6号线交汇口）有1100米，从小区门口至北洼西里公交站（437路87路）有200米（数据来源高德地图）
                  ","
                    房屋是2016年装修的，把挨着厨房的卧室改成了餐厅，一直自住状态，房屋内保持干净整洁
                  ","
                    本房满五年唯一商品房性质，无抵押无查封，有户口可迁出，产权干净清晰，条件合适可以随时交易
                  ",,,,
136,['玉海园优质两居室，方正无浪费，急售'],545,74150,"['海淀', '玉泉路']",2室1厅1厨1卫,中楼层 (共5层),73.5㎡,平层,暂无数据,板楼,东 南,混合结构,简装,暂无数据,集中供暖,无,2023-11-12,已购公房,2021-08-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满二公房，六年内无占用，急售，优质，靠谱签约
                  ","
                    玉海园一里是1998年建成，一共18栋住宅楼，两栋塔楼，16栋板楼，环境安静，居住舒适度好。
                  ",,"
                    户型方正，没有浪费，两个大阳台，次卧室阳台面积6.6平方，两个加起来可以多放张床
                  ",,"
                    小区出南门有阳光星期八公园；永辉大卖场，西门距离田村京粮广场1100米左右（数据来源于高德地图）；距离解放军总医院第三医院2100米左右（数据来源于高德地图），距离航天医院米722米左右（数据来源于高德地图）；休闲娱乐、购物、医疗、设施齐全。
                  ",,,,,,,
137,['清河五星社区，低价三居，南北通透，双阳台，两卧朝南'],590,77024,"['海淀', '清河']",3室1厅1厨2卫,高楼层 (共6层),76.6㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-03,央产房,1998-05-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    双地铁，满五唯一公房，可多贷款，明厨明卫，单家委托，配套齐全
                  ","
                    小区是中石化润滑油的家属院，小区环境优美，24小时安保，有单元门，楼道干净整洁，有物业和居委会，警务室，小区院内还有老年人自发的学习场所，有孩子的滑梯，有亭子，有长廊，有高树，有花开，小区车位充裕，管理规范，五星公房社区。楼栋已做改造。
                  ",,"
                    一梯两户格局，南北通透三居，单独餐厅，两个卧室朝南，主卧带阳台。厨房带北向阳台。两个卫生间，其中一个带窗户。小区干净整洁，管理规范。老客户房源，诚意出售，只在链家出售。
                  ","
                    房子是满五唯一的公房，只有契税和土地出让金，无非普限制，适合多贷款。税费少。
                  ","
                    华润万象汇20万平米的商场，商场内有沃尔玛，京东生鲜，CGV国际影城、1800平米真冰冰场，多家连锁品牌餐饮，运动服饰。有八家郊野公园，美和园公园，燕清体育文化公园。小区内有老年人活动室。老年人大学，物业管理严格。
                  ",,,"
                    房子没有抵押，产权清晰，随时可以签约，诚意出售。公房性质房屋，可以正常交易过户，可以多贷款购买。商贷可以贷款30年。没有适龄儿童上过学
                  ",,,,
138,['永定路85号院 全明格局大三居室诚心出售 三面朝南'],560,61404,"['海淀', '五棵松']",3室1厅1厨1卫,顶层 (共5层),91.2㎡,平层,暂无数据,板楼,西 东 南,混合结构,简装,暂无数据,集中供暖,无,2023-11-10,央产房,2001-05-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年公房，不临街，采光好，全明格局，东西南朝向大三居室
                  ","
                    小区叫永定路85号院，是属于航天二院的单位分房，一共有28栋楼。活动空间充足，停车方便，先到先停一年400元。大部分都是六层板楼，物业管理较好，属于华润物业。居民素质高，邻里和谐，基本上都是航天的职工。
                  ",,"
                    户型：东西南朝向的大三居室，卧室都是南向的，全明格局，前后没有遮挡，采光没有问题。公摊少。房子位置在小区里面，不临街，环境安静。
                  ",,"
                    小区门口即是永定路，永定路上商店河餐馆饭店很多，往西北还有大型的永辉商店，往东到五棵松地铁站是一号线，旁边有大型的购物广场华熙LIVE五棵松。五棵松地铁站南侧即是301总医院。小区旁边就是武警总医院。所以生活配套和医疗配套都很成熟，生活便利。
                  ","
                    出小区门口到永定路，有永定路口北公交站，有公交车334路，4路，611路。小区门口到五棵松地铁站1号线A口大概是900米。所以开车出行，南侧就是长安街。往东900米左右就能到西四环中路。
                  ",,,,,,
