,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,适宜人群,户型介绍,权属抵押,售房详情,装修描述,税费解析,用水类型,用电类型,燃气价格,别墅类型
316,['海棠湾一期 高楼层 全明格局 无遮挡 自住精装修 唯一'],425,47354,"['通州', '临河里']",2室2厅1厨1卫,高楼层 (共24层),89.75㎡,平层,70.47㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,2023-10-17,商品房,2015-03-27,普通住宅,满五年,共有,"
                                有抵押 90万元 公积金贷款 客户偿还
                              ",已上传房本照片,"
                    海棠湾一期 高楼层 全明格局 无遮挡 自住精装修 满五唯一唯一
                  ","
                    海棠湾小区是2012-2014年建成的社区，小区总共16栋住宅楼，小区采用人车分流设计，车辆进小区就下地库，车位充足；小区内有大约108种绿植，小区有3500平人工湖，小区内还有网球场，小区物业费2.4每平米，物业服务好，24小时安保，值守严格。集中供暖地暖。
                  ","
                    小区配套齐全，南北双地铁。地铁7号线群芳站 距离小区800米。地铁八通线梨园站距离小区1800米。大部分房子都可以看到环球影城，景观好。，出行方便购物的话可以去蓝岛大厦，贵友大厦，淘宝城，物美苏宁等各大商场，购物便捷。梨园幼儿园100米。出行方便
                  ","
                    小区南门口 就有绿色交通自行车，还有591路公交车，小区的西侧有372路647路通7路通10路等多条公交路线，交通便利。南门坐公交两站直达惠民菜市场。买菜方便。南北双地铁，地铁7号线群芳站，步行1100米。公园200米。三条高速，东六环 京沈高速 广渠路。
                  ","
                    小区是改善型社区。目前自住的居多，小区购买人群分两类，因为小区主打的是两居室和三居室，所以，1.通州小区改善购买这个小区的居多。小区人车分流，有3500平米景观湖。2.市里业主，小区配套齐全，环境好。可以在小区里逛公园。安全 方便。
                  ",,,,,,,,,
317,['时尚街区东区 梨园地铁 采光充足'],245,36206,"['通州', '梨园']",2室1厅1厨1卫,中楼层 (共20层),67.67㎡,平层,59.34㎡,塔楼,东北,钢混结构,简装,两梯十二户,集中供暖,有,2023-10-01,商品房,2012-09-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，楼层高视野开阔，没有浪费面积
                  ","
                    时尚街区东区是北京住总房地产开发有限公司开发的，国有企业，资历雄厚，小区一共14栋楼，小区设计曾获鲁班奖，小区内部有自己的幼儿园，地上地下车位，每两栋楼中间都有自己的花园，小区是集中供暖，24小时安保轮流值班。
                  ","
                    小区配套也完善，商场有贵友大厦、蓝岛大厦、罗斯福、物美、家乐福等，银行有工商银行、农业银行、交通银行、北京银行、中国银行、招商银行、建设银行等，饭馆餐厅、公园电影院、健身房等等一应俱全，生活方便
                  ",,,,,,,"
                    房子是70年大产权的商品房，房子满五年，业主北京名下唯一住房，首套购房只有网签价1.5%的契税，二套购房网签价3%的契税。
                  ",,,,
318,['东惠家园  高楼层   有电梯  户型方正'],240,37060,"['通州', '通州其它']",1室2厅1厨1卫,高楼层 (共26层),64.76㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-10-13,二类经济适用房,2021-11-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是高楼层，不临街，视野好‘看房方便
                  ",,"
                    通明湖公园 医院：通州第三人民医院 商场：泰禾永辉街区，大族广场，亦庄创意生活广场，山姆会员店
                  ",,,,"
                    本房产权清晰，没有抵押，购房流程简单，业主诚意出售，随时签约。
                  ",,"
                    屋里装修不错，户型纯南，21年装修的，要求不高的话可以直接入住。
                  ",,,,,
319,['亦庄新城 精装3居 满五唯一  南北通透 明厨明卫'],345,38411,"['通州', '马驹桥']",3室1厅1厨1卫,低楼层 (共18层),89.82㎡,平层,70.03㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023-10-26,商品房,2014-05-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    亦庄新城 精装3居 满五唯一  南北通透 明厨明卫，采光充足
                  ","
                    融科香雪兰溪为融科智地旗下开发的一个项目，小区分二期，一期为低层花园电梯洋房，共13栋楼，花园洋房11栋，高板两栋，花园洋房物业费为2.85元；二期为高层板楼一共八栋，物业费2.55元，物业为北京第 一太平物业，物业服务在小区住户口碑好，热情周到
                  ",,"
                    小区南门口有直通地铁同济南路站的班车，班车为早六点，早六点半发两趟，下午六点半返回。公交车站为马驹桥一号桥南，经过的公交车站有821.826.846.975.通28.可到北京西站，刘家窑，通州城区，出行方便。
                  ",,,,,,"
                    正规商品房，70年大产权，满五年唯一，交易过程中税费仅有契税，首套购房1%契税，二套购房3%契税。
                  ",,,,
320,['此房满五唯一 只有契税 精装修 中高楼层 采光好'],219,38962,"['通州', '临河里']",2室1厅1厨1卫,中楼层 (共27层),56.21㎡,平层,43.28㎡,板楼,南,钢混结构,精装,两梯六户,集中供暖,有,2023-10-20,限价商品房,2015-07-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一 只有契税 精装修 中高楼层 采光好
                  ","
                    此房是华远地产2014年建成的，物业是开发商自己的物业，是圣瑞物业，集中供暖30元/平，物业费2.45元/平米
                  ","
                    社区北侧碧水公园，社区西侧是金隅花街，有鲜果蔬门店，爱尚动健身房，南侧是华远好天地有华联，迪卡侬、中行、华夏银行，博纳国际影院，庆丰包子
                  ","
                    出行便利，坐车出行：社区门口时公交车站，T座107、通6路1站到八通线土桥城铁站，可以出门骑通州公租自行车到土桥城铁站，开车出行：社区东侧是东六环，可以在土桥出口出入，入市区可走京沈高速，南侧是103国道可以到通州城区，走广渠路和京通快速到达市区
                  ",,,,,,,,,,
321,['南北通透2居 精装修 业主诚心出售 满5唯一  价格可议'],255,34349,"['通州', '玉桥']",2室1厅1厨1卫,高楼层 (共6层),74.24㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-14,已购公房,2018-03-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    @满5年唯一，足额贷款；
@装修好，可直接入住；
@业主人好
                  ","
                    @玉桥南里分俩区，本房在南区，距离史家和玉桥都很方便；
@小区特色：中间是社区活动广场及社区花园，两侧是楼栋南北正向排列，规划整齐
                  ",,,,"
                    南北通透，客厅大，厨房大而且带阳台，主卧朝南带阳台；公摊少；整体居住感：空间大，通透性好！
                  ",,,,"
                    本房满5年也是业主在京仅有住房，仅契税；本房无贷款，无占用；
                  ",,,,
322,['西营前街 南北通透 交通方便 配套齐全 业主诚心卖'],189,32813,"['通州', '万达']",2室1厅1厨1卫,底层 (共6层),57.6㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-04,商品房,2015-05-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    西营前街 南北通透 交通方便 配套齐全 业主诚心卖
                  ",,"
                    房屋坐落位置距离北京潞河医院和中西医结合医院近，保障及时就医。 房屋北行，有西海子公园 。有菜市场、京客隆、各大银行、大鸭梨烤鸭店等餐饮配备齐全。
                  ","
                    小区旁边有公交车站，到地铁的距离大概是1.5公里到2.2公里之间，北边有通州北关地铁，东边是北运河西地铁，都是6号线，南边是九棵树地铁，西边是通州北苑地铁，是属于八通线一号线，小区出门就有共享单车，隔壁是通州站，总体而言，交通是比较方便.
                  ",,,"
                    房子无贷款，没有银行抵押，产权清晰，一个人的房本，减少交易周期和交易风险。
                  ",,,,,,,
323,['加州小镇  南北通透  明厨明卫 双卧朝南'],338,39035,"['通州', '临河里']",2室1厅1厨1卫,中楼层 (共11层),86.59㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,自供暖,有,2023-09-04,商品房,2020-12-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子楼层好，采光视野比较好，明厨明卫 业主诚意出售
                  ","
                    房子2007年的， 绿化好，人车分流 ，居住舒适，小高层，南北通透朝向
                  ","
                    小区配套齐全，南门200米菜市场.高楼金超市.西门好丽友.庆丰包子.物美超市等
                  ","
                    房子位于地铁八通线临河里站南侧1000米（来源于百度地图非直线）七号线高楼金。有公交车589路，591路，通4路，通53路，通62路
                  ",,"
                    小区房子是06年的房子，钢混结构，南北爽通透，主卧南向带4.5平米的阳台，客厅北向带两面窗户，次卧北向带飘窗，厨房北向带阳台，卫生间带拐角阳台
                  ",,,,,,,,
324,['复兴南里，房本满五年在京唯一住房，户型方正看房方便'],336,41559,"['通州', '果园']",2室1厅1厨1卫,底层 (共6层),80.85㎡,平层,70.59㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-10,商品房,2004-09-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，小区去年改造过，小区环境好
                  ",,"
                    复兴南里是1998年建成的小区，小区已经全部改造完，小区环境很好，小区有物美超市，万达购物广场，领展购物广场，果园地铁站，通州北苑地铁站，北机菜市场，生活配套成熟。
                  ",,"
                    低楼层，中间单元，适合家里有老人和孩子的家庭，不临街不临铁路，安静，带个花园私密性好，养养花草，自助小烧烤，岂不美哉
                  ","
                    此房建成年代为1998年，小区刚改造完，小区环境好。客厅朝南带阳台，主卧朝南，次卧厨房朝北，卫生间在两卧室中间
                  ",,,,"
                    房子为商品房，满五年而且是业主家庭在京名下唯一住房，交易只有契税。
                  ",,,,
325,['房子满五唯一   只缴契税 无遮挡 全南两居 视野好'],237,26954,"['通州', '马驹桥']",2室1厅1厨1卫,低楼层 (共28层),87.93㎡,平层,69.44㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-09-07,限价商品房,2014-09-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一的住宅 无个税  无遮挡 全南向 采光无限
                  ",,"
                    公园：小区西北侧1.5KM处修建海子墙公园，自驾车6KM到达南海子公园。 商场：西侧一公里处有百商生活广场，车程8KM到达大族广场、力宝广场、城乡世纪广场等，各大品牌一应俱全，only，哥弟GIRDEAR，罗蒙，欧时力，阿依莲，鄂尔多斯，belle.
                  ","
                    出小区南门50米处公交车站有T106路，通69路，开往同济南路地铁站、542路，专96路开往亦庄开发区方向、通12路城铁北苑通州方向。距离同济南路地铁站公交出行25kM，驾车出行13km
                  ","
                    小区是住总万科开发建设的，物业是住总北宇物业，小区内部以高层板楼为主，两梯四户。2013年社区，小区整体较新有电梯，社区内居住人群多数在亦庄开发区上班的年轻人，较适合年轻的刚需客户群体
                  ",,,,,,,,,
326,['满五唯一，中间楼层，把边带边阳台，南北通透，安静'],288,41185,"['通州', '潞苑']",1室1厅1厨1卫,中楼层 (共6层),69.93㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-02-26,商品房,2004-08-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，中间楼层，把边带边阳台，南北通透，安静
                  ","
                    小区配套设施齐全，篮球场，网球场，乒乓球，活动室，健身房，儿童娱乐场所，小区内公园，让您不出小区就可以有健身娱乐等活动。小区市政水，集中供暖，物业费0.98元，六层板楼，落地窗，冬季沐浴阳光，夏季微风徐徐
                  ",,"
                    615路，惠兰美居始发，途经通州万达、朝阳甘露园、十里堡到国贸 667路，惠兰美居始发，途经通州万达到国贸 824路，疃里始发，途经天赐良园二期（六号线物资学院路站）到六号线草房站（早晚高峰） 通60路，终点到通州北苑站 通62路，途经八通线到高楼金村
                  ",,"
                    2003年建成，落地窗户型，边户，南北通透，270度采光，通风好，客厅有两个阳台，方便晾晒衣物
                  ",,,,,,,,
327,['京贸国际城 东南北 两居室 满五年唯一'],460,49320,"['通州', '武夷花园']",2室2厅1厨1卫,顶层 (共18层),93.27㎡,平层,暂无数据,板塔结合,东南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-08-10,商品房,2018-08-17,普通住宅,满五年,非共有,"
                                有抵押 200万元 平安 客户偿还
                              ",已上传房本照片,"
                    东南北朝向两居室，全明格局，精装修，高层观景
                  ","
                    北京天旭运河房地产开发建设,天旭物业管理,物业费3.28元/平/月;小区民水民电、集中供暖,供暖费24元平;人车分流,车位为租赁形式,450元月;小区内有下跃花园、竹林以及水系景观,还设有宠物垃圾站,人性化管理居住舒适环境
                  ","
                    小区挨着通州CBD板块，北侧和西侧两所三甲医院（友谊和潞河）距离万达广场3,5公里，有三元村菜市场，新鲜蔬菜水果肉类，可满足您日常生活需求。华联商厦，上海华联。建行、工行、邮储、北京、农商、农行等多家银行。
                  ","
                    小区出门向南300米就是耿庄桥南公交站,有552、442、667、648等多趟公交路线。距离地铁6号线北运河西站2公里左右（数据来源：高德地图）;2023年小区西门步行600米可乘坐地铁22号线。小区北500米（数据来源：高德地图）就是通燕高速耿庄桥入口自驾车也方便。
                  ",,"
                    东南北超向户型的大两居室，精装修， 全明格局 无遮挡 采光不错，各功能间分区明显，居住舒适度高。
                  ",,,"
                    本房是业主的精装修房子，当时也是花心思了，人车分流，人文环境好；贷款方式不限，适合首付不多的小两口；或者家中有老人的，总楼层低，配套齐全，有超市、公园、带电梯、离着医院也近
                  ",,,,,
328,['明厨明卫+楼前没遮挡+2014年新小区'],375,42017,"['通州', '北关']",3室1厅1厨1卫,高楼层 (共18层),89.25㎡,平层,68.85㎡,板楼,南 北 东,钢混结构,毛坯,两梯四户,集中供暖,有,2023-11-13,商品房,2016-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一次新房三居室+明厨明卫+楼前没遮挡+2014年新小区
                  ","
                    小区的物业是金地物业，物业费3.2，每天两次专人打扫，24小时保安巡逻。地下停车400/月，地上停车230/月。市政的水电燃气取暖，小区有餐馆、医院、健身房等配套设施。
                  ","
                    小区楼下有自己的配套，铁锅炖、渔家小馆、玉博睿幼儿园，公交站，小区里面有自己的花园、儿童活动区以及健身设施。社区配有社区幸福班车，直达6号线物资学院地铁站，公交车342路开往6号线北关地铁站，出行方便。
                  ",,,"
                    本房是南北通透的三居室，明厨明卫，三个卧室互不相邻，私密性很好，房子主卧室和客厅朝南，客厅和厨房相对，空气流通性好。卫生间干湿分离，解决家庭人口多的烦恼。
                  ",,,"
                    本房交房时是毛坯交房，新业主可以按自己喜好装修，省去拆除费用
                  ",,,,,
329,['世纪星城南北通透，全明户型，精装修电梯两居'],465,46904,"['通州', '通州北苑']",2室2厅1厨1卫,中楼层 (共18层),99.14㎡,平层,77.76㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-09-22,商品房,2020-04-07,普通住宅,满两年,共有,"
                                有抵押 150万元 工商银行 业主自还
                              ",已上传房本照片,"
                    广渠路旁，高档住宅小区，居中位置，经典户型，好楼层，好视野
                  ","
                    小区室2009年建成的社区，绿化高，管理到位。环境优美，楼栋排列整齐，是整个通州稀有的电梯板楼社区
                  ","
                    小区配套齐全。生活便利，东小门外就是北机菜市场，旁边还有物美超市。交通方便，小区东侧1000米是果园地铁站，门口多路公交车 668/669/807/924/312直达国贸大北窑。医院有小区东南方向1500米的东直门医院通州院区，还有潞河医院。
                  ",,,,,,,"
                    房子虽然不满五，但是原值374万，业主家庭名下唯一住宅，交易只有契税。
                  ",,,,
330,['华业东方玫瑰C区 开发商精装修 中央空调 地暖'],459,49995,"['通州', '临河里']",2室2厅1厨1卫,中楼层 (共27层),91.81㎡,平层,72.82㎡,板塔结合,西南,钢混结构,精装,两梯五户,集中供暖,有,2023-10-07,商品房,2019-08-05,普通住宅,满两年,非共有,"
                                有抵押 300万元 客户偿还
                              ",已上传房本照片,"
                    此房原值630万，开发商精装修 满五唯一
                  ","
                    华业地产以低层有园、高层有景、四季有景、四季不同的设计理念，创造出独具匠心地中海浪漫园林。小区采用新古典主义设计风格，南北排列式布局，能够充分保证每个空间的景观及光线，自然通风、采光，空间上的布局充分考虑了居住的需求性和舒适性。
                  ","
                    小区下楼就是十字步行街，有肯德基、必胜客、德克士、京妮儿童汇、耀莱成龙影城、平安北京农业交通浦发银行，物美，健身房，各种美食等，东有碧水公园，西有梨园主题公园，满足您的生活所需。
                  ","
                    小区距离八通线临河里站741米（数据来源于高德地图）还有通6路，通4路，591,587,435,807路公交车经过，交通便利。
                  ","
                    华业东方玫瑰生活配套齐全，小区绿化好，属于老少皆宜的社区；人车分流，适合有老人和孩子的家庭
                  ","
                    17年交房，户型是华业少有的东南--全明--2居户型，方方正正，布局合理。本房的楼层高，视野采光好。卫生间有窗，通风效果好
                  ",,,,,,,,
331,['世纪星城南北通透，全明户型，精装修电梯两居'],465,46904,"['通州', '通州北苑']",2室2厅1厨1卫,中楼层 (共18层),99.14㎡,平层,77.76㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-09-22,商品房,2020-04-07,普通住宅,满两年,共有,"
                                有抵押 150万元 工商银行 业主自还
                              ",已上传房本照片,"
                    广渠路旁，高档住宅小区，居中位置，经典户型，好楼层，好视野
                  ","
                    小区室2009年建成的社区，绿化高，管理到位。环境优美，楼栋排列整齐，是整个通州稀有的电梯板楼社区
                  ","
                    小区配套齐全。生活便利，东小门外就是北机菜市场，旁边还有物美超市。交通方便，小区东侧1000米是果园地铁站，门口多路公交车 668/669/807/924/312直达国贸大北窑。医院有小区东南方向1500米的东直门医院通州院区，还有潞河医院。
                  ",,,,,,,"
                    房子虽然不满五，但是原值374万，业主家庭名下唯一住宅，交易只有契税。
                  ",,,,
332,['满五唯一，中间楼层，把边带边阳台，南北通透，安静'],288,41185,"['通州', '潞苑']",1室1厅1厨1卫,中楼层 (共6层),69.93㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-02-26,商品房,2004-08-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，中间楼层，把边带边阳台，南北通透，安静
                  ","
                    小区配套设施齐全，篮球场，网球场，乒乓球，活动室，健身房，儿童娱乐场所，小区内公园，让您不出小区就可以有健身娱乐等活动。小区市政水，集中供暖，物业费0.98元，六层板楼，落地窗，冬季沐浴阳光，夏季微风徐徐
                  ",,"
                    615路，惠兰美居始发，途经通州万达、朝阳甘露园、十里堡到国贸 667路，惠兰美居始发，途经通州万达到国贸 824路，疃里始发，途经天赐良园二期（六号线物资学院路站）到六号线草房站（早晚高峰） 通60路，终点到通州北苑站 通62路，途经八通线到高楼金村
                  ",,"
                    2003年建成，落地窗户型，边户，南北通透，270度采光，通风好，客厅有两个阳台，方便晾晒衣物
                  ",,,,,,,,
333,['南北通透2居 精装修 业主诚心出售 满5唯一  价格可议'],255,34349,"['通州', '玉桥']",2室1厅1厨1卫,高楼层 (共6层),74.24㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-14,已购公房,2018-03-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    @满5年唯一，足额贷款；
@装修好，可直接入住；
@业主人好
                  ","
                    @玉桥南里分俩区，本房在南区，距离史家和玉桥都很方便；
@小区特色：中间是社区活动广场及社区花园，两侧是楼栋南北正向排列，规划整齐
                  ",,,,"
                    南北通透，客厅大，厨房大而且带阳台，主卧朝南带阳台；公摊少；整体居住感：空间大，通透性好！
                  ",,,,"
                    本房满5年也是业主在京仅有住房，仅契税；本房无贷款，无占用；
                  ",,,,
334,['急售低层三居室 八通线1号线果园地铁站 随时看随时签'],368,33861,"['通州', '果园']",3室1厅1厨1卫,低楼层 (共7层),108.68㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-06-04,商品房,2016-11-15,普通住宅,满五年,共有,"
                                有抵押 200万元 中国银行 客户偿还
                              ",已上传房本照片,"
                    房子满五年一套，看房方便，2层三居室，业主随时签约。
                  ","
                    小区比较安静，小区里面有活动广场，孩子老人都有玩的空间，小区以板楼为主，居住人口适中，适合居住。
                  ","
                    公园：往东1公里是漫春园 医院：距东直门医院2.4公里，门口有社区诊所 商场：小区底商有华联Chao市等众多生鲜Chao市，往东900米有家乐福、领展购物广场，往西北1500米是万达广场，小区1000米内有物美大卖场、北机菜市场。
                  ","
                    出小区步行700米（百度地图可查）是果园地铁站，步行500米是公交车站（百度地图可查）668，669，316，T12等公交站，开车出小区走西边就是京通快速路，广渠路。
                  ",,,,,,,,,,
335,['通州区万达广场 怡佳家园小区  精装修两居'],385,37576,"['通州', '万达']",2室1厅1厨1卫,高楼层 (共23层),102.46㎡,平层,暂无数据,塔楼,东 南,钢混结构,精装,两梯七户,集中供暖,有,2023-08-06,商品房,2013-12-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，精装修，东南朝向，楼层高，视野开阔，无遮挡
                  ","
                    小区是2002年的小区，开发企业是北京万佳房地产开发有线公司，物业公司是北京福贤物业管理有限公司，一期是4栋楼，均为集中供暖，有24小时热水，可以随时使用，小区也是人车分流的社区，每栋楼都可以直接入地库，24小时保安看守，安全有保障。
                  ",,"
                    小区门口有绿色环保自行车，出门就是公交车站，有666、667、435、924、806、802、804、602、811、648、552路，自驾车可走京通快速，交通很便利；距离地铁站通州北苑站直线距离980米（百度可查）
                  ",,,,,,"
                    房子是商品房，房本已经满五年，客户购房成本低。首套房客户购买只需要缴纳1.5%契税
                  ",,,,
336,['龙鼎园精装两居，南北户型，带电梯'],336,36550,"['通州', '九棵树(家乐福)']",2室2厅1厨1卫,中楼层 (共11层),91.93㎡,平层,75.4㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-10-18,商品房,2006-04-03,普通住宅,满五年,非共有,"
                                有抵押 10万元 建设银行 业主自还
                              ",已上传房本照片,"
                    此房满五年唯一，南北格局，精装修，看房方便，不临街
                  ","
                    龙鼎园小区是2004年的社区，小区共有12栋楼，物业费带电梯的楼栋1.58元每平米，集中供暖30元每平米，环境优雅安静，很适合居住。
                  ",,"
                    小区门口有552路，582路，591路，807路，924路公交车，步行八通九棵树地铁1700米（百度测距）
                  ",,"
                    此房为正规的两居室，南北户型，客厅和主卧南向，主卧带阳台，次卧和厨房北向，一梯三户，带电梯，精装修业主自住的，看房方便。
                  ",,,,,,,,
337,['西上园一区正规两居室南向客厅带落地窗有车位'],418,46486,"['通州', '武夷花园']",2室1厅1厨1卫,中楼层 (共6层),89.92㎡,平层,79.16㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-03-02,商品房,2004-12-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子已经满五年，南向客厅带落地窗中间楼层
                  ","
                    西上园一区是2003年建成，是由通州区房地产开发总公司开发建设的，共有39栋住宅楼，小区道路宽敞，梧桐树道路两侧林立，小区内多个健身娱乐广场，可健身，可下棋等，小区里有春蕾双语，方便接孩子，邻里之间很和谐。
                  ",,,"
                    本房是中间楼层适合一家人居住
房子南北通透，南向客厅带落地窗采光效果好
                  ","
                    户型南北通透，客厅与厨房通透，南卧室与北卧室动静分离，互补相应。
                  ",,,,,,,,
338,['杨庄北街4号院南北通透两居室精装修诚信出售'],185,30706,"['通州', '通州北苑']",2室1厅1厨1卫,中楼层 (共6层),60.25㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-02,已购公房,2007-06-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透格局，楼层好，视野宽阔，采光充足
                  ","
                    1987年的小区 一栋板楼 无物业费 仅有5/月 卫生费，取暖30/月 不行到1号线八通 通州北苑地铁站341米（高德地图显示）万达广场784米（高德地图）
                  ","
                    小区生活配套齐全，有万达广场，国泰百货，各大银行，健身房，电影院以及各色名吃店。生活很方便。距离华联商厦约257米（其中餐饮有海底捞、呷哺呷哺、博纳影城），距离国泰百货约323米，距离通州北苑万达约790米；生活氛围浓厚
                  ","
                    小区交通位置不错，距离八通线通州北苑地铁站200米（数据来源百度地图）。距离公交站也是比较近，多路公交可以去市区国贸
                  ",,,,,,,,,,
339,['果园225号旁门 南北通透两居满五唯一'],190,33246,"['通州', '果园']",2室1厅1厨1卫,低楼层 (共6层),57.15㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-10-14,商品房,2015-10-23,普通住宅,满五年,共有,"
                                有抵押 60万元 公积金 业主自还
                              ",已上传房本照片,"
                    房子南北通透，户型好，通风效果好，采光好
                  ",,"
                    医院：北京中医药大学东直门医院（三级甲等 公立） 商场：万达广场（1000米），苏荷时代广场（300米），苏荷奥特莱斯（300米），物美大卖场（500米），李老商场（800米） 银行：中国银行（200米），中国农业银行（300米），交通银行（300米）
                  ","
                    小区出门口往南800米就是九棵树地铁，可以直达国贸，出行还是很方便的。
                  ","
                    小区现在刚刚改造完，外地面和路面修理的也不错，适合居住，小区养房成本相对低一些
                  ",,"
                    房子是全款卖的后续没有抵押，产权清晰，交易安全省心，看房也方便。
                  ",,,,,,,
340,['方恒东景  八通线土桥站  只交契税   高楼层 诚心出售'],298,35460,"['通州', '临河里']",3室1厅1厨1卫,高楼层 (共29层),84.04㎡,平层,63.45㎡,板塔结合,东 南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-09-17,商品房,2018-09-18,普通住宅,满五年,非共有,"
                                有抵押 105万元 业主自还
                              ",已上传房本照片,"
                    满五唯一 全明户型  高楼层  近地铁 随时看  随时签
                  ","
                    方恒东景位于北京市通州临河里，由北京方恒置业股份有限公司建成，2012年小区。总建筑面积132153，总占地面积60495，共计房屋1307户，小区物业公司为北京华泰龙安物业管理有限责任公司，物业费1.98元/平，取暖费24元/平。
                  ","
                    小区购物配套完善，有物美，华远好天地商街，有博纳影院，迪卡侬，大鸭梨家常菜等餐饮，有梨园东里菜市场和小街菜市场，生活和交通便利。
                  ","
                    此房位于北京市通州区临河里，距离城铁八通线终点站土桥地铁站592米（数据来源于百度地图），小区南门是103国道，还有806路，801路，810路，591路，924路，802路公交经过，小区门口也有公共自行车，无论选择哪种出行方式都比较便利.
                  ",,,,,,,,,,
341,['东亚印象台湖。满五唯一。精装修'],223,31413,"['通州', '通州其它']",2室1厅1厨1卫,中楼层 (共12层),70.99㎡,平层,53.46㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-08-26,商品房,2016-11-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子南北通透 格局好 明厨 精装修 户型方正
                  ","
                    东亚印象台湖项目位于通州区台湖镇，项目矗立于环渤海区域企业总部聚集区和文化旅游区之间，北接通州新城，南邻北京经济技术开发区，地处北京五环路和六环路之间，作为东部产业发展带的中间节点，形成北京、通州、亦庄三城环抱之势
                  ","
                    配套有社区内部的餐饮有沙县小吃、东北菜馆等，另外还有美容美发，超市等。另外出去小区，还有台湖镇的生活配套
                  ","
                    东亚印象台湖小区交通畅达，北距京哈高速约公路1公里，南距京津高速公路4公里，东距六环2.8公里。公交线路：通7路、通11路、通15路、976支路，通7路台湖东口站下，976支路台湖西街站下，通11、15路台湖镇站下，为您出行提供多重选择。
                  ",,,,,,,,,,
